,0
"('500', '510', '520')",0.14963527781505737
"('500', '510', '530')",0.1679101717055147
"('500', '510', '540')",0.18091671185046465
"('500', '510', '550')",0.18944943941226633
"('500', '510', '560')",0.197989833518585
"('500', '510', '570')",0.20095505335503683
"('500', '510', '580')",0.20094097748019113
"('500', '510', '590')",0.2019424286479068
"('500', '510', '600')",0.20386617683677466
"('500', '510', '610')",0.20555452440159772
"('500', '510', '620')",0.20615452974524784
"('500', '510', '630')",0.2104394717239093
"('500', '510', '640')",0.20943206516488533
"('500', '510', '650')",0.1868254786945427
"('500', '510', '660')",0.17734608442189215
"('500', '510', '670')",0.15723061505629388
"('500', '510', '680')",0.1503546315333515
"('500', '510', '690')",0.18628560494512736
"('500', '510', '700')",0.2575547737680304
"('500', '510', '710')",0.2962900796136281
"('500', '510', '720')",0.31960717838445785
"('500', '510', '730')",0.33910770562266546
"('500', '510', '740')",0.3520800500285093
"('500', '510', '750')",0.3659564982648664
"('500', '520', '510')",0.24497600073103865
"('500', '520', '530')",0.3258003754969907
"('500', '520', '540')",0.3512810431056197
"('500', '520', '550')",0.36770103443845836
"('500', '520', '560')",0.38436860454307187
"('500', '520', '570')",0.390079288201306
"('500', '520', '580')",0.39002059464463956
"('500', '520', '590')",0.39192295146250067
"('500', '520', '600')",0.39564635789990876
"('500', '520', '610')",0.39891824112935814
"('500', '520', '620')",0.40010473795620305
"('500', '520', '630')",0.4084425195388577
"('500', '520', '640')",0.4064753582045353
"('500', '520', '650')",0.36254011694150545
"('500', '520', '660')",0.3441396578510314
"('500', '520', '670')",0.30504688268831615
"('500', '520', '680')",0.2917211630029697
"('500', '520', '690')",0.3616500741450943
"('500', '520', '700')",0.5003282757809446
"('500', '520', '710')",0.5757302521519834
"('500', '520', '720')",0.6210936505881124
"('500', '520', '730')",0.6590544491238433
"('500', '520', '740')",0.684347386671786
"('500', '520', '750')",0.711316815345739
"('500', '530', '510')",0.30382128746365233
"('500', '530', '520')",0.3599998189231858
"('500', '530', '540')",0.4357416877420921
"('500', '530', '550')",0.4561168298580045
"('500', '530', '560')",0.4767839617476193
"('500', '530', '570')",0.48386585971070817
"('500', '530', '580')",0.48379009948441976
"('500', '530', '590')",0.48614942274728823
"('500', '530', '600')",0.4907659978394052
"('500', '530', '610')",0.49482348166654555
"('500', '530', '620')",0.49629261050968343
"('500', '530', '630')",0.5066322579081879
"('500', '530', '640')",0.5041874602519409
"('500', '530', '650')",0.4496941582610614
"('500', '530', '660')",0.4268745768375475
"('500', '530', '670')",0.37839098057226106
"('500', '530', '680')",0.3618683032088431
"('500', '530', '690')",0.44862425433931996
"('500', '530', '700')",0.6206584394710843
"('500', '530', '710')",0.7141917399232665
"('500', '530', '720')",0.7704597778082252
"('500', '530', '730')",0.8175369291698069
"('500', '530', '740')",0.8489041110730922
"('500', '530', '750')",0.8823549806790045
"('500', '540', '510')",0.3236651643861953
"('500', '540', '520')",0.38360371317409137
"('500', '540', '530')",0.4306430108797077
"('500', '540', '550')",0.4860118960270876
"('500', '540', '560')",0.5080243812555598
"('500', '540', '570')",0.5155672100124618
"('500', '540', '580')",0.5154825098081848
"('500', '540', '590')",0.5179957118169767
"('500', '540', '600')",0.5229111386598777
"('500', '540', '610')",0.5272327456177259
"('500', '540', '620')",0.5287945873784001
"('500', '540', '630')",0.5398074390839707
"('500', '540', '640')",0.5371973532105541
"('500', '540', '650')",0.47913902989100143
"('500', '540', '660')",0.45483120945455435
"('500', '540', '670')",0.4031806377448153
"('500', '540', '680')",0.3855832479355502
"('500', '540', '690')",0.4780388686908039
"('500', '540', '700')",0.661361241628935
"('500', '540', '710')",0.7610259680776612
"('500', '540', '720')",0.8209754749561828
"('500', '540', '730')",0.8711274572097158
"('500', '540', '740')",0.9045426897653348
"('500', '540', '750')",0.940181198199924
"('500', '550', '510')",0.3268355309123042
"('500', '550', '520')",0.3873244552905053
"('500', '550', '530')",0.4348317865734923
