well,row,col,B_lbl,C_lbl,F680,A680,A750
G9,G,9,0.025,0.05,2451.0,0.22759999334812164,0.15950000286102295
H9,H,9,0.0,0.05,2292.0,0.1965000033378601,0.13609999418258667
A10,A,10,0.2,0.025,1080.0,0.4023000001907349,0.3495000004768372
B10,B,10,0.175,0.025,1177.0,0.3632000088691712,0.3188000023365021
C10,C,10,0.15,0.025,1224.0,0.3203999996185303,0.2791000008583069
D10,D,10,0.125,0.025,1174.0,0.2777999937534332,0.24130000174045566
E10,E,10,0.1,0.025,1193.0,0.24699999392032626,0.2134999930858612
F10,F,10,0.05,0.025,1270.0,0.19460000097751615,0.1607999950647354
G10,G,10,0.025,0.025,1285.0,0.15870000422000885,0.1298999935388565
H10,H,10,0.0,0.025,1247.0,0.1387999951839447,0.11240000277757643
A11,A,11,0.2,0.005,245.0,0.3504999876022339,0.3237000107765198
B11,B,11,0.175,0.005,243.0,0.31029999256134033,0.2940999865531921
C11,C,11,0.15,0.005,228.0,0.26460000872612,0.25110000371932983
D11,D,11,0.125,0.005,233.0,0.2335000038146973,0.22429999709129333
E11,E,11,0.1,0.005,259.0,0.19789999723434448,0.19089999794960025
F11,F,11,0.05,0.005,286.0,0.1591999977827072,0.1542000025510788
G11,G,11,0.025,0.005,275.0,0.11580000072717668,0.11309999972581865
H11,H,11,0.0,0.005,284.0,0.093299999833107,0.0926000028848648
A12,A,12,0.2,0.0,8.0,0.3294000029563904,0.3172999918460846
B12,B,12,0.175,0.0,4.0,0.2991000115871429,0.2870999872684479
C12,C,12,0.15,0.0,8.0,0.2515000104904175,0.2430000007152557
D12,D,12,0.125,0.0,3.0,0.21870000660419464,0.2137999981641769
E12,E,12,0.1,0.0,4.0,0.19699999690055847,0.19539999961853027
F12,F,12,0.05,0.0,4.0,0.13210000097751615,0.13189999759197235
G12,G,12,0.025,0.0,4.0,0.10620000213384627,0.10920000076293944
H12,H,12,0.0,0.0,3.0,0.08269999921321869,0.09009999781847
