,Measurement_type,Wavelength,Row,Column,Measurement,Well,Sample,True_abs_C,True_abs_B,Blank_for_measurement,Measurement-Blank
54,Absorbance,680_nm,G,7,0.3578000068664551,G7,S79,0.1,0.025,0.08269999921321869,0.2751000076532364
55,Absorbance,680_nm,H,7,0.3179999887943268,H7,S91,0.1,0.0,0.08269999921321869,0.2352999895811081
56,Absorbance,680_nm,A,8,0.48500001430511475,A8,S08,0.075,0.2,0.08269999921321869,0.40230001509189606
57,Absorbance,680_nm,B,8,0.4587000012397766,B8,S20,0.075,0.175,0.08269999921321869,0.3760000020265579
58,Absorbance,680_nm,C,8,0.43369999527931213,C8,S32,0.075,0.15,0.08269999921321869,0.35099999606609344
59,Absorbance,680_nm,D,8,0.436599999666214,D8,S44,0.075,0.125,0.08269999921321869,0.3539000004529953
60,Absorbance,680_nm,E,8,0.37130001187324524,E8,S56,0.075,0.1,0.08269999921321869,0.28860001266002655
61,Absorbance,680_nm,F,8,0.33550000190734863,F8,S68,0.075,0.05,0.08269999921321869,0.25280000269412994
62,Absorbance,680_nm,G,8,0.28999999165534973,G8,S80,0.075,0.025,0.08269999921321869,0.20729999244213104
63,Absorbance,680_nm,H,8,0.26440000534057617,H8,S92,0.075,0.0,0.08269999921321869,0.18170000612735748
64,Absorbance,680_nm,A,9,0.4530999958515167,A9,S09,0.05,0.2,0.08269999921321869,0.37039999663829803
65,Absorbance,680_nm,B,9,0.4065000116825104,B9,S21,0.05,0.175,0.08269999921321869,0.3238000124692917
66,Absorbance,680_nm,C,9,0.39660000801086426,C9,S33,0.05,0.15,0.08269999921321869,0.31390000879764557
67,Absorbance,680_nm,D,9,0.3384999930858612,D9,S45,0.05,0.125,0.08269999921321869,0.2557999938726425
68,Absorbance,680_nm,E,9,0.31769999861717224,E9,S57,0.05,0.1,0.08269999921321869,0.23499999940395355
69,Absorbance,680_nm,F,9,0.25920000672340393,F9,S69,0.05,0.05,0.08269999921321869,0.17650000751018524
70,Absorbance,680_nm,G,9,0.22759999334812164,G9,S81,0.05,0.025,0.08269999921321869,0.14489999413490295
71,Absorbance,680_nm,H,9,0.1965000033378601,H9,S93,0.05,0.0,0.08269999921321869,0.11380000412464142
72,Absorbance,680_nm,A,10,0.40230000019073486,A10,S10,0.025,0.2,0.08269999921321869,0.3196000009775162
73,Absorbance,680_nm,B,10,0.36320000886917114,B10,S22,0.025,0.175,0.08269999921321869,0.28050000965595245
74,Absorbance,680_nm,C,10,0.3203999996185303,C10,S34,0.025,0.15,0.08269999921321869,0.23770000040531158
75,Absorbance,680_nm,D,10,0.2777999937534332,D10,S46,0.025,0.125,0.08269999921321869,0.19509999454021454
76,Absorbance,680_nm,E,10,0.24699999392032623,E10,S58,0.025,0.1,0.08269999921321869,0.16429999470710754
77,Absorbance,680_nm,F,10,0.19460000097751617,F10,S70,0.025,0.05,0.08269999921321869,0.11190000176429749
78,Absorbance,680_nm,G,10,0.15870000422000885,G10,S82,0.025,0.025,0.08269999921321869,0.07600000500679016
79,Absorbance,680_nm,H,10,0.1387999951839447,H10,S94,0.025,0.0,0.08269999921321869,0.05609999597072601
80,Absorbance,680_nm,A,11,0.3504999876022339,A11,S11,0.005,0.2,0.08269999921321869,0.2677999883890152
81,Absorbance,680_nm,B,11,0.31029999256134033,B11,S23,0.005,0.175,0.08269999921321869,0.22759999334812164
82,Absorbance,680_nm,C,11,0.26460000872612,C11,S35,0.005,0.15,0.08269999921321869,0.1819000095129013
83,Absorbance,680_nm,D,11,0.23350000381469727,D11,S47,0.005,0.125,0.08269999921321869,0.15080000460147858
84,Absorbance,680_nm,E,11,0.19789999723434448,E11,S59,0.005,0.1,0.08269999921321869,0.1151999980211258
85,Absorbance,680_nm,F,11,0.15919999778270721,F11,S71,0.005,0.05,0.08269999921321869,0.07649999856948853
86,Absorbance,680_nm,G,11,0.11580000072717667,G11,S83,0.005,0.025,0.08269999921321869,0.03310000151395798
87,Absorbance,680_nm,H,11,0.093299999833107,H11,S95,0.005,0.0,0.08269999921321869,0.010600000619888306
88,Absorbance,680_nm,A,12,0.3294000029563904,A12,S12,0.0,0.175,0.08269999921321869,0.2467000037431717
89,Absorbance,680_nm,B,12,0.29910001158714294,B12,S24,0.0,0.15,0.08269999921321869,0.21640001237392426
90,Absorbance,680_nm,C,12,0.2515000104904175,C12,S36,0.0,0.125,0.08269999921321869,0.1688000112771988
91,Absorbance,680_nm,D,12,0.21870000660419464,D12,S48,0.0,0.1,0.08269999921321869,0.13600000739097595
92,Absorbance,680_nm,E,12,0.19699999690055847,E12,S60,0.0,0.05,0.08269999921321869,0.11429999768733978
93,Absorbance,680_nm,F,12,0.13210000097751617,F12,S72,0.0,0.025,0.08269999921321869,0.049400001764297485
94,Absorbance,680_nm,G,12,0.10620000213384628,G12,S84,0.0,0.0,0.08269999921321869,0.023500002920627594
95,Absorbance,680_nm,H,12,0.08269999921321869,H12,S96,0.0,0.0,0.08269999921321869,0.0
96,Absorbance,750_nm,A,1,0.5047000050544739,A1,S01,0.25,0.2,0.09009999781847,0.4146000072360039
97,Absorbance,750_nm,B,1,0.5055999755859375,B1,S13,0.25,0.175,0.09009999781847,0.4154999777674675
98,Absorbance,750_nm,C,1,0.4729999899864197,C1,S25,0.25,0.15,0.09009999781847,0.3828999921679497
99,Absorbance,750_nm,D,1,0.44940000772476196,D1,S37,0.25,0.125,0.09009999781847,0.35930000990629196
100,Absorbance,750_nm,E,1,0.43149998784065247,E1,S49,0.25,0.1,0.09009999781847,0.34139999002218246
101,Absorbance,750_nm,F,1,0.3928000032901764,F1,S61,0.25,0.05,0.09009999781847,0.3027000054717064
102,Absorbance,750_nm,G,1,0.37950000166893005,G1,S73,0.25,0.025,0.09009999781847,0.28940000385046005
103,Absorbance,750_nm,H,1,0.36730000376701355,H1,S85,0.25,0.0,0.09009999781847,0.27720000594854355
104,Absorbance,750_nm,A,2,0.48260000348091125,A2,S02,0.225,0.2,0.09009999781847,0.39250000566244125
105,Absorbance,750_nm,B,2,0.46880000829696655,B2,S14,0.225,0.175,0.09009999781847,0.37870001047849655
106,Absorbance,750_nm,C,2,0.4415999948978424,C2,S26,0.225,0.15,0.09009999781847,0.3514999970793724
107,Absorbance,750_nm,D,2,0.4189999997615814,D2,S38,0.225,0.125,0.09009999781847,0.3289000019431114
108,Absorbance,750_nm,E,2,0.40790000557899475,E2,S50,0.225,0.1,0.09009999781847,0.31780000776052475
109,Absorbance,750_nm,F,2,0.39739999175071716,F2,S62,0.225,0.05,0.09009999781847,0.30729999393224716
110,Absorbance,750_nm,G,2,0.3865000009536743,G2,S74,0.225,0.025,0.09009999781847,0.2964000031352043
111,Absorbance,750_nm,H,2,0.353300005197525,H2,S86,0.225,0.0,0.09009999781847,0.263200007379055
112,Absorbance,750_nm,A,3,0.48159998655319214,A3,S03,0.2,0.2,0.09009999781847,0.39149998873472214
113,Absorbance,750_nm,B,3,0.5860000252723694,B3,S15,0.2,0.175,0.09009999781847,0.4959000274538994
114,Absorbance,750_nm,C,3,0.4097000062465668,C3,S27,0.2,0.15,0.09009999781847,0.31960000842809677
115,Absorbance,750_nm,D,3,0.41429999470710754,D3,S39,0.2,0.125,0.09009999781847,0.32419999688863754
116,Absorbance,750_nm,E,3,0.3856000006198883,E3,S51,0.2,0.1,0.09009999781847,0.2955000028014183
117,Absorbance,750_nm,F,3,0.3817000091075897,F3,S63,0.2,0.05,0.09009999781847,0.2916000112891197
118,Absorbance,750_nm,G,3,0.32679998874664307,G3,S75,0.2,0.025,0.09009999781847,0.23669999092817307
119,Absorbance,750_nm,H,3,0.2870999872684479,H3,S87,0.2,0.0,0.09009999781847,0.19699998944997787
120,Absorbance,750_nm,A,4,0.45239999890327454,A4,S04,0.175,0.2,0.09009999781847,0.36230000108480453
121,Absorbance,750_nm,B,4,0.444599986076355,B4,S16,0.175,0.175,0.09009999781847,0.354499988257885
122,Absorbance,750_nm,C,4,0.3995000123977661,C4,S28,0.175,0.15,0.09009999781847,0.3094000145792961
123,Absorbance,750_nm,D,4,0.40139999985694885,D4,S40,0.175,0.125,0.09009999781847,0.31130000203847885
