,kB680,kC680,kB720,kC720
320,0.649097464197256,1.061378372918487,0.6129668178997107,0.4774169160488119
325,0.6559796526235084,1.0652066911763904,0.6194599077876911,0.47917104348502865
330,0.664167923812033,1.0605339127165359,0.627195610962904,0.4771089100657098
335,0.6729426277396987,1.0521599731938538,0.6354814739021878,0.47336401859495314
340,0.681380202019776,1.0524205691877482,0.6434498822556012,0.47350270988595894
345,0.6908390485406125,1.067048435906244,0.6523833873993887,0.48012800125344895
350,0.699626097202685,1.0880929490578422,0.6606715593739502,0.48966577216986235
355,0.708688002236531,1.1062888591999391,0.6692245229785637,0.4979287179959911
360,0.7163866650964832,1.1141334567832146,0.6764911795604902,0.5015275277647901
365,0.7238009418885608,1.1140274714162892,0.6834784645426872,0.5015311267261373
370,0.7298615361657357,1.1068724936466814,0.6891830158270162,0.49831415062238493
375,0.7361969284459701,1.0955958895832691,0.6951443626582011,0.49323877818360184
380,0.7412872297949441,1.0850283842649087,0.6999429251309834,0.48851269869075525
385,0.7476827230044977,1.0786213633495894,0.7059782048183599,0.48568107978947167
390,0.7537913969956849,1.07858609947142,0.7117469970341503,0.48568403099159735
395,0.7594031429289988,1.0761159524703228,0.7170465302229928,0.4845813779960715
400,0.764698731791546,1.0615183689145256,0.7220445777357096,0.47801205302010485
405,0.7692495659169198,1.0363598783237251,0.7263478107964816,0.466687515247331
410,0.7755638621810862,0.9945412733252191,0.7323182675675414,0.44785522045526294
415,0.7796212670535712,0.9639905464735703,0.7361450484877186,0.43410602623359146
420,0.7852587873937018,0.9435515204828956,0.7414771969530893,0.4249062170846182
425,0.7895577515460055,0.9282518274622564,0.7455341899422293,0.4180132621242057
430,0.7960699619459344,0.9067610675248173,0.7516790751908515,0.4083390632860602
435,0.8034051891274712,0.8861732624801965,0.7586112067273344,0.39906345060354076
440,0.809903348663024,0.8791859641044922,0.7647465545300731,0.3959301018236009
445,0.8165450575752761,0.8948312150633595,0.7710150555785502,0.40298199338878987
450,0.8219258105669276,0.9230234971081203,0.7760901778433404,0.415690811610978
455,0.8265268641847237,0.9486359816104994,0.7804374699869238,0.4272539459801707
460,0.8336141745759779,0.972508351313515,0.7871244433734176,0.4380011660459371
465,0.838273809706831,0.9738659213410881,0.791525493556162,0.4386149226093883
470,0.8433965904790037,0.9657263570443029,0.7963609543329246,0.4349566888219281
475,0.848491866909875,0.9557597445030407,0.8011701452592705,0.4304716687060523
480,0.8515833120784002,0.9530302052228454,0.8041050980814652,0.429245673696471
485,0.8594125969718762,0.9602170673421626,0.8114797873080063,0.432509832627755
490,0.8630941122432625,0.9879771127641048,0.8149555497769283,0.44501536643616024
495,0.8685304699391913,1.032116208555202,0.820095365373589,0.46491735314653787
500,0.8727163685257918,1.0972641495059,0.8240417603567309,0.4942810084143203
505,0.8771093103194764,1.183911935556047,0.8281908494580754,0.533339186212061
510,0.881824722694285,1.280741770197703,0.8326452643371042,0.576977098309404
515,0.8864532712544817,1.3846163342140014,0.8370103379440302,0.6237798104646982
520,0.8904336611386031,1.4805831616581362,0.8407609767702999,0.6670121791699816
525,0.8959344542625401,1.585096622507983,0.8459627020069996,0.7140865900042573
530,0.8995218710610038,1.643596116314498,0.8493620253015689,0.7404425920966088
535,0.9031284240041332,1.705263740788507,0.8527504616324159,0.7682151560392819
540,0.9076632355780256,1.7474663707318523,0.8570276875482853,0.7871257828851491
545,0.9129620867041515,1.7877039198231228,0.8620337052583488,0.8052583454093514
550,0.9150831937912343,1.81263766066738,0.8640315204354326,0.8164872119860972
555,0.9182880486368541,1.8437982112171372,0.8670542390218926,0.8305055189527802
560,0.9218854441796717,1.8636416267733338,0.8704402827392211,0.8394349747582793
565,0.9264815132055929,1.8700859806993886,0.8747754975457298,0.8423577143673157
570,0.930629201330525,1.8637101959641087,0.8786942784272409,0.839496977166583
575,0.9347475888935505,1.8489245613553829,0.8825850396599536,0.8328555809154223
580,0.9382084679950364,1.832729762471757,0.8858396004641863,0.8255547532547912
585,0.9416967472336438,1.8174186178533827,0.8891376148474057,0.8186735136558306
590,0.9462939074410154,1.8030348106388978,0.8934750762915403,0.8122159237828168
595,0.950523293842116,1.7942933316172691,0.8974670365871358,0.8082897757186427
600,0.9548132368822112,1.787677938662759,0.9015186076485621,0.8053209161305412
605,0.9591488671866606,1.7800761184447331,0.9056077130601504,0.8019037232007692
610,0.962821078758731,1.7718314612650066,0.9090792800848356,0.7982008069895505
615,0.966758820236558,1.7572198778941093,0.9127909992665211,0.7916218877781128
620,0.9700952517442194,1.7401219388295808,0.9159420204688765,0.7839211126002994
625,0.9745008448619727,1.7332220627339654,0.9201119019380724,0.7807996551017958
630,0.9790619301983629,1.7408916515293877,0.9244205202854214,0.7842634117523504
635,0.9830891452191518,1.7455487093685609,0.9282246233703502,0.7863468384709106
640,0.9873947267787424,1.6997086901446856,0.932302094840626,0.7656960113771646
645,0.9908937094032753,1.5989348217458992,0.9356008407087375,0.7203138418468064
650,0.99539091162701,1.474111819255236,0.939859855942395,0.6640400649821289
655,0.9999811647473058,1.4106626651859644,0.9441985327254528,0.6354480682167912
660,1.0051300590091337,1.3646628149336655,0.9490676606728387,0.6147183957921482
665,1.0091450396061659,1.267431996722077,0.952870070818973,0.5709081396174757
670,1.0137524278216015,1.1703702070643567,0.9572225004581024,0.5269910231170225
675,1.0173280867264318,1.0984103921543509,0.9606126039714071,0.4947559167790173
680,1.0231059253897492,1.0763469225305273,0.9660814913843391,0.4848237328682122
685,1.0268252665440636,1.1229949165399256,0.969595874118359,0.5058624672039809
690,1.031264232608872,1.2760980976080725,0.9737952206640775,0.5748416827584086
695,1.037016751460717,1.5738954898630406,0.9792325156206088,0.7093731414214418
700,1.041822209650281,1.7625578506930988,0.9837827849432222,0.7940173683745361
705,1.0455102990234637,1.9176438534170563,0.9872761372028281,0.8638093463385627
710,1.0495823879597281,2.0553706708189514,0.9911357029202791,0.9258141226397744
715,1.0537634304216565,2.1453117819192786,0.9951043551962898,0.9663063961149627
