,kB680,kC680,kB720,kC720
A600,0.8775263326324898,1.6170128347630968,0.8144926482737138,0.8163990278603417
500,0.7395681484470199,1.0039081095171596,0.6861663387480743,0.5059540273573256
510,0.7559220928926018,1.1523507323786004,0.7013618520257245,0.5809381518918828
520,0.7712604922919895,1.3383969819901562,0.7155874382321754,0.6748521278239998
530,0.7865166104750209,1.4735014203832855,0.7297524268391347,0.7430383023481991
540,0.8029724515342573,1.5561498898150172,0.7450334790613374,0.7846882551890088
550,0.8167175582429974,1.6013349927607534,0.7577866763339764,0.8074132382678165
560,0.8341278366514564,1.6388469217634034,0.773945695811297,0.826255292019431
570,0.850908835474418,1.6300962167426358,0.789523512034959,0.8217094726837039
580,0.8657825877431948,1.6015463821795861,0.8033197636569455,0.8072085608602392
590,0.8847239510384685,1.5747597841149716,0.8209021213216334,0.7936249970255311
600,0.9024647646398024,1.5582785994198622,0.8373597763868996,0.7852406838643405
610,0.9204480037406176,1.5402665427331896,0.854049469884701,0.7761021363767568
620,0.9363050976270925,1.518567080058274,0.8687566667181829,0.7651234579587567
630,0.9551592430476719,1.519426908761779,0.8862495482065629,0.7654995845672213
640,0.9736529687925494,1.4831491665478418,0.9034114337594178,0.7471217328892725
650,0.9912350713155907,1.2992440232515505,0.9197286444587449,0.6544370627699165
660,1.01163637305717,1.2084251531723185,0.9386778746895297,0.6086948936296457
670,1.0309453377053899,1.051121452265529,0.9565899667350638,0.5295038622588146
680,1.0515564036187068,0.9856350570793184,0.9757163282255978,0.49659546531899046
690,1.0713348464346555,1.199922222683044,0.9940730654956746,0.6048528342619713
700,1.0941374766035576,1.6260450752450202,1.0152462879440447,0.8199333734278155
710,1.112766734312447,1.8398409540477692,1.0325297841335361,0.9277886670338321
720,1.1322316500358125,1.9504349477304637,1.050603064782371,0.9834604760341349
730,1.15592767479483,2.026921799925917,1.072593955385657,1.021892114384419
740,1.1748831971992315,2.070517881251504,1.090186503520097,1.0437872214890411
750,1.1971198569475079,2.111984562690205,1.110832399083317,1.0646026080346502
