,well,content,t(h),A750c,F680c
113,B3,ICL_101,21,0.05042976,510.8333333
114,B4,ICL_139A,21,0.054396428,475.6666667
115,B5,ICL_103,21,0.032713093,390.8333333
116,B6,ICL_160,21,0.032263094,348
117,B7,ICL_129A,21,0.196413096,639.5
118,B8,ICL_129B,21,0.056263095,276.3333333
119,B9,ICL_133,21,0.058596428,496.6666667
120,C1,ICL_144,21,0.035013097,453.8333333
121,C10,ICL_184BA,21,0.180529759,606.1666667
122,C11,ICL_184BB,21,0.185079764,735.6666667
123,C12,ICL_193,21,0.065346423,507.1666667
124,C2,ICL_41,21,0.082213095,507.6666667
125,C3,ICL_114B,21,0.088679764,445.5
126,C4,ICL_208B,21,0.069229762,594.3333333
127,C5,ICL_117,21,0.054763097,334
128,C6,ICL_132,21,0.039379759,361.8333333
129,C7,ICL_48,21,0.192913096,641.1666667
130,C8,ICL_201,21,0.183279759,633
131,C9,ICL_172,21,0.183596428,827.1666667
132,D1,ICL_186A,21,0.229663095,390.8333333
133,D10,Chlamy,21,0.034029762,354.1666667
134,D11,Chlamy,21,0.030029761,301.5
135,D12,Chlamy,21,0.02594643,242.8333333
136,D2,ICL_186B,21,0.059846427,548
137,D3,ICL_170,21,0.236629765,407.5
138,D4,ICL_179A,21,0.234746427,372.3333333
139,D5,ICL_179B,21,0.07289643,395.1666667
140,D6,Chlamy,21,0.059429763,399.5
141,D7,Chlamy,21,0.074913098,428.3333333
142,D8,Chlamy,21,0.046013098,409
143,D9,Chlamy,21,0.059563095,332
144,E1,ICL_162,21,0.264796432,452.6666667
145,E10,ICL_118B,21,0.043446427,388.5
146,E11,ICL_100,21,0.029946433,273.6666667
147,E12,ICL_108,21,0.008029763,288
148,E2,ICL_202A,21,0.216596426,618.8333333
149,E3,ICL_202B,21,0.225596424,543.6666667
150,E4,ICL_202C,21,0.216713092,568.8333333
151,E5,ICL_131,21,0.153746427,603.5
152,E6,ICL_116,21,0.240079767,422.6666667
153,E7,ICL_112,21,0.197413093,540.5
154,E8,ICL_163,21,0.057496427,373
155,E9,ICL_24,21,0.057346425,397.8333333
156,F1,ICL_115,21,0.015613093,373.1666667
157,F10,ICL_20BA,21,0.041029761,512.3333333
158,F11,ICL_20BB,21,0.028163096,280.1666667
159,F12,ICL_60,21,0.015246427,277.3333333
160,F2,ICL_199,21,0.032346429,555.6666667
161,F3,ICL_101,21,0.055196425,508.1666667
