,well,content,t(h),A750c
709,D10,BLANK,167,-0.010871428
710,D11,BLANK,167,-0.014021429
711,D12,BLANK,167,0.052128569
712,D2,ICL_186B,167,-0.007521431
713,D3,ICL_170,167,0.116578573
714,D4,ICL_179A,167,0.135428571
715,D5,ICL_179B,167,0.033878573
716,D6,BLANK,167,-0.013421426
717,D7,BLANK,167,0.022978571
718,D8,BLANK,167,-0.014221429
719,D9,BLANK,167,-0.014221429
720,E1,ICL_162,167,0.106478573
721,E10,ICL_118B,167,0.113378571
722,E11,ICL_100,167,-0.009071431
723,E12,ICL_108,167,-0.011071428
724,E2,ICL_202A,167,0.126028576
725,E3,ICL_202B,167,0.121178576
726,E4,ICL_202C,167,0.116278567
727,E5,ICL_131,167,0.066078567
728,E6,ICL_116,167,0.079128572
729,E7,ICL_112,167,0.118228571
730,E8,ICL_163,167,-0.010321426
731,E9,ICL_24,167,0.035728575
732,F1,ICL_115,167,-0.009921427
733,F10,ICL_20BA,167,-0.010671425
734,F11,ICL_20BB,167,0.031228573
735,F12,ICL_60,167,-0.00767143
736,F2,ICL_199,167,-0.011321428
737,F3,ICL_101,167,-0.013271428
738,F4,ICL_139A,167,-0.011571429
739,F5,ICL_103,167,-0.009421426
740,F6,ICL_160,167,-0.012421428
741,F7,ICL_129A,167,0.109728568
742,F8,ICL_129B,167,-0.005521427
743,F9,ICL_133,167,-0.011021427
744,G1,ICL_144,167,-0.009521427
745,G10,ICL_184BA,167,0.026128576
746,G11,ICL_184BB,167,0.059728571
747,G12,ICL_193,167,0.085328573
748,G2,ICL_41,167,0.13547858
749,G3,ICL_114B,167,0.117778571
750,G4,ICL_208B,167,-0.008621427
751,G5,ICL_117,167,0.129278571
752,G6,ICL_132,167,0.01957857
753,G7,ICL_48,167,0.033078575
754,G8,ICL_201,167,0.051128575
755,G9,ICL_172,167,0.053728574
756,H1,ICL_186A,167,0.13842857
757,H10,BLANK,167,-0.01252143
758,H11,BLANK,167,-0.006921428
759,H12,BLANK,167,-0.01012143
760,H2,ICL_186B,167,0.030978576
761,H3,ICL_170,167,0.116678574
762,H4,ICL_179A,167,0.131028579
763,H5,ICL_179B,167,-0.00987143
764,H6,BLANK,167,-0.016221429
765,H7,BLANK,167,0.019878575
766,H8,BLANK,167,-0.00877143
767,H9,BLANK,167,0.026328572
