,well,content,t(h),A750c
141,D7,BLANK,21,0.023296426
142,D8,BLANK,21,0.008846431
143,D9,BLANK,21,0.000796432
144,E1,ICL_162,21,0.129596433
145,E10,ICL_118B,21,-0.004253571
146,E11,ICL_100,21,-0.005453573
147,E12,ICL_108,21,-0.005353571
148,E2,ICL_202A,21,0.12309642
149,E3,ICL_202B,21,0.151696427
150,E4,ICL_202C,21,0.155446424
151,E5,ICL_131,21,0.107746421
152,E6,ICL_116,21,0.157496429
153,E7,ICL_112,21,0.139596431
154,E8,ICL_163,21,0.00089643
155,E9,ICL_24,21,-0.00110357
156,F1,ICL_115,21,0.004196426
157,F10,ICL_20BA,21,-0.001203568
158,F11,ICL_20BB,21,-0.002253575
159,F12,ICL_60,21,-0.00375357
160,F2,ICL_199,21,-0.006703572
161,F3,ICL_101,21,0.011996428
162,F4,ICL_139A,21,0.012196428
163,F5,ICL_103,21,0.017296425
164,F6,ICL_160,21,0.013446427
165,F7,ICL_129A,21,0.122046425
166,F8,ICL_129B,21,-0.000253571
167,F9,ICL_133,21,-0.002153569
168,G1,ICL_144,21,-0.001403572
169,G10,ICL_184BA,21,0.124896428
170,G11,ICL_184BB,21,0.140796429
171,G12,ICL_193,21,0.021046429
172,G2,ICL_41,21,0.03039643
173,G3,ICL_114B,21,0.029646433
174,G4,ICL_208B,21,-0.001503573
175,G5,ICL_117,21,0.001396424
176,G6,ICL_132,21,-0.003653572
177,G7,ICL_48,21,0.110396429
178,G8,ICL_201,21,0.079246423
179,G9,ICL_172,21,0.128496429
180,H1,ICL_186A,21,0.217746428
181,H10,BLANK,21,-0.002853574
182,H11,BLANK,21,-0.00680357
183,H12,BLANK,21,-0.008053572
184,H2,ICL_186B,21,-0.002103572
185,H3,ICL_170,21,0.170846424
186,H4,ICL_179A,21,0.166596434
187,H5,ICL_179B,21,-3.57E-06
188,H6,BLANK,21,-0.01080357
189,H7,BLANK,21,-0.00660357
190,H8,BLANK,21,-0.001553574
191,H9,BLANK,21,-0.006503572
192,A1,ICL_162,42,0.237771434
193,A10,ICL_118B,42,-0.004028573
194,A11,ICL_100,42,-0.00497857
195,A12,ICL_108,42,-0.000878571
196,A2,ICL_202A,42,0.186321435
