,well,content,t(h),A750c,F680c
121,C10,ICL_184BA,21,0.283046423,684.5
122,C11,ICL_184BB,21,0.255821428,670.75
123,C12,ICL_193,21,0.244171417,683.25
124,C2,ICL_41,21,0.27907143,633.5
125,C3,ICL_114B,21,0.286921425,638
126,C4,ICL_208B,21,0.299671433,642.25
127,C5,ICL_117,21,0.297971419,666.75
128,C6,ICL_132,21,0.293546422,659.25
129,C7,ICL_48,21,0.289571425,659.5
130,C8,ICL_201,21,0.288271433,653.25
131,C9,ICL_172,21,0.28982143,662.5
132,D1,ICL_186A,21,0.260071422,674
133,D10,Chlamy,21,0.153946428,451.25
134,D11,Chlamy,21,0.111321429,327.25
135,D12,Chlamy,21,0.108446433,348.25
136,D2,ICL_186B,21,0.286921433,701.5
137,D3,ICL_170,21,0.288371435,660.75
138,D4,ICL_179A,21,0.284996426,654
139,D5,ICL_179B,21,0.289221427,682.25
140,D6,Chlamy,21,0.165321431,359.25
141,D7,Chlamy,21,0.167496423,472.5
142,D8,Chlamy,21,0.151446431,441.75
143,D9,Chlamy,21,0.137521426,404
144,E1,ICL_162,21,0.259371428,675.75
145,E10,ICL_118B,21,0.259221426,648.25
146,E11,ICL_100,21,0.243171422,648
147,E12,ICL_108,21,0.248746431,654
148,E2,ICL_202A,21,0.273646424,654.5
149,E3,ICL_202B,21,0.27552143,679
150,E4,ICL_202C,21,0.277646429,652.5
151,E5,ICL_131,21,0.279171428,672
152,E6,ICL_116,21,0.281946419,688.5
153,E7,ICL_112,21,0.277071422,665.5
154,E8,ICL_163,21,0.26737143,691.25
155,E9,ICL_24,21,0.27934642,586.75
156,F1,ICL_115,21,0.252146429,629.25
157,F10,ICL_20BA,21,0.260221435,652
158,F11,ICL_20BB,21,0.249871424,638.5
159,F12,ICL_60,21,0.232471427,655.25
160,F2,ICL_199,21,0.266796424,637.5
161,F3,ICL_101,21,0.268921434,639.5
162,F4,ICL_139A,21,0.274546428,667
163,F5,ICL_103,21,0.273721425,671.5
164,F6,ICL_160,21,0.268021426,640.75
165,F7,ICL_129A,21,0.260421431,655.25
166,F8,ICL_129B,21,0.251471429,650.75
167,F9,ICL_133,21,0.252396426,629.25
168,G1,ICL_144,21,0.250046427,666.25
169,G10,ICL_184BA,21,0.245921424,687.5
170,G11,ICL_184BB,21,0.224921426,683.75
171,G12,ICL_193,21,0.22269643,673.5
172,G2,ICL_41,21,0.269371426,658.75
173,G3,ICL_114B,21,0.259571428,666
174,G4,ICL_208B,21,0.257746431,629.5
175,G5,ICL_117,21,0.252196434,675.75
176,G6,ICL_132,21,0.253421424,628
177,G7,ICL_48,21,0.25377143,669.75
178,G8,ICL_201,21,0.243746428,667.5
179,G9,ICL_172,21,0.243321432,679.5
180,H1,ICL_186A,21,0.237546428,578.5
181,H10,Chlamy,21,0.102371427,321.25
182,H11,Chlamy,21,0.08164643,314.5
183,H12,Chlamy,21,0.06809643,301.25
184,H2,ICL_186B,21,0.238646428,635.25
185,H3,ICL_170,21,0.244221425,652.75
186,H4,ICL_179A,21,0.252321424,677.75
187,H5,ICL_179B,21,0.235746431,703.25
188,H6,Chlamy,21,0.089721429,405.75
189,H7,Chlamy,21,0.10804643,425.25
190,H8,Chlamy,21,0.094796433,403.75
191,H9,Chlamy,21,0.09154643,307
192,A1,ICL_162,42,0.270921429,3904.75
193,A10,ICL_118B,42,0.274596428,3570.25
194,A11,ICL_100,42,0.270896432,3542
195,A12,ICL_108,42,0.265121427,3458.25
196,A2,ICL_202A,42,0.277146426,3805.75
197,A3,ICL_202B,42,0.271246423,3840
198,A4,ICL_202C,42,0.273871434,3888.5
199,A5,ICL_131,42,0.292146427,3993.75
200,A6,ICL_116,42,0.280821425,3830
201,A7,ICL_112,42,0.27079643,3726.75
202,A8,ICL_163,42,0.279971426,3747
203,A9,ICL_24,42,0.276571428,3637.5
204,B1,ICL_115,42,0.28817143,4076.5
