Well	Mean	StDev	0;2	1;2	2;2	2;1	1;1	0;1	0;0	1;0	2;0	wavelength	mode
B7	0.946399986743927	0.09380000084638596	1.0922000408172607	0.9388999938964844	1.0922000408172607	0.8845999836921692	0.8449000120162964	0.8729000091552734	0.9912999868392944	0.8687000274658203	0.9319000244140625	600	Absorbance
B8	0.8974000215530396	0.09210000187158585	1.0342999696731567	0.8971999883651733	1.0458999872207642	0.8406000137329102	0.7997999787330627	0.8100000023841858	0.9309999942779541	0.822700023651123	0.8948000073432922	600	Absorbance
B9	0.8299000263214111	0.10140000283718109	0.9842000007629395	0.8343999981880188	0.9921000003814697	0.7663999795913696	0.7214000225067139	0.7383000254631042	0.8666999936103821	0.7504000067710876	0.8147000074386597	600	Absorbance
B10	0.777400016784668	0.10750000178813934	0.9368000030517578	0.7857999801635742	0.9595999717712402	0.7211999893188477	0.6686999797821045	0.6700999736785889	0.7930999994277954	0.6935999989509583	0.7681000232696533	600	Absorbance
B11	0.708899974822998	0.10170000046491623	0.8562999963760376	0.7095999717712402	0.8804000020027161	0.6560999751091003	0.603600025177002	0.6083999872207642	0.7315999865531921	0.6244999766349792	0.7091000080108643	600	Absorbance
B12	0.5819000005722046	0.11169999837875366	0.7457000017166138	0.5701000094413757	0.7746000289916992	0.5335000157356262	0.46939998865127563	0.4722000062465668	0.5922999978065491	0.48969998955726624	0.5895000100135803	600	Absorbance
C1	1.176800012588501	0.07190000265836716	1.2956000566482544	1.1655999422073364	1.246999979019165	1.1058000326156616	1.0943000316619873	1.1236000061035156	1.2520999908447266	1.1345000267028809	1.1729999780654907	600	Absorbance
C2	1.1390999555587769	0.07419999688863754	1.26419997215271	1.1272000074386597	1.229599952697754	1.0791000127792358	1.0556999444961548	1.0772000551223755	1.190600037574768	1.0844000577926636	1.1437000036239624	600	Absorbance
C3	1.1299999952316284	0.07989999651908875	1.2670999765396118	1.1252000331878662	1.2335000038146973	1.0686999559402466	1.0448999404907227	1.0641000270843506	1.1740000247955322	1.0647000074386597	1.1274000406265259	600	Absorbance
C4	1.090000033378601	0.08100000023841858	1.205399990081787	1.0870000123977661	1.200600028038025	1.0198999643325806	0.9936000108718872	1.020300030708313	1.1639000177383423	1.0437999963760376	1.0750999450683594	600	Absorbance
C5	1.0338000059127808	0.08070000261068344	1.1714999675750732	1.0262999534606934	1.141800045967102	0.9711999893188477	0.9480999708175659	0.9643999934196472	1.0759999752044678	0.9743000268936157	1.0305999517440796	600	Absorbance
C6	0.9988999962806702	0.08209999650716782	1.124899983406067	0.9800999760627747	1.1095000505447388	0.9347000122070312	0.8999000191688538	0.9273999929428101	1.0612000226974487	0.9485999941825867	1.003499984741211	600	Absorbance
C7	0.9424999952316284	0.09019999951124191	1.0964000225067139	0.9380000233650208	1.0635000467300415	0.8755999803543091	0.8432000279426575	0.8629999756813049	0.9811000227928162	0.8744999766349792	0.9470000267028809	600	Absorbance
C8	0.9092000126838684	0.09510000050067902	1.062999963760376	0.9089000225067139	1.0478999614715576	0.8507000207901001	0.8037999868392944	0.8199999928474426	0.9388999938964844	0.8317999839782715	0.9175000190734863	600	Absorbance
C9	0.8363000154495239	0.09449999779462814	0.9937000274658203	0.8306999802589417	0.9702000021934509	0.7778000235557556	0.7336000204086304	0.7458000183105469	0.8676999807357788	0.761900007724762	0.8454999923706055	600	Absorbance
C10	0.7882999777793884	0.10000000149011612	0.9430999755859375	0.7903000116348267	0.9452000260353088	0.7324000000953674	0.6798999905586243	0.6898000240325928	0.8079000115394592	0.708299994468689	0.7979000210762024	600	Absorbance
C11	0.7192999720573425	0.10199999809265137	0.8686000108718872	0.723800003528595	0.8851000070571899	0.671500027179718	0.6065999865531921	0.6139000058174133	0.7347000241279602	0.6365000009536743	0.7329999804496765	600	Absorbance
C12	0.5809000134468079	0.10920000076293945	0.7263000011444092	0.5690000057220459	0.7785999774932861	0.5339000225067139	0.47200000286102295	0.4652999937534332	0.5913000106811523	0.49570000171661377	0.5963000059127808	600	Absorbance
D1	1.1719000339508057	0.07259999960660934	1.289199948310852	1.149899959564209	1.2518999576568604	1.1065000295639038	1.0836000442504883	1.1169999837875366	1.2346999645233154	1.125	1.1888999938964844	600	Absorbance
D2	1.094099998474121	0.0778999999165535	1.2273999452590942	1.0717999935150146	1.1778000593185425	1.031499981880188	1.0019999742507935	1.0342999696731567	1.1569000482559204	1.0378999710083008	1.107200026512146	600	Absorbance
D3	1.065500020980835	0.07620000094175339	1.1826000213623047	1.0369000434875488	1.1583000421524048	1.0078999996185303	0.9740999937057495	1.0018999576568604	1.1289000511169434	1.0104000568389893	1.0886000394821167	600	Absorbance
D4	1.0298000574111938	0.07819999754428864	1.1496000289916992	1.0140000581741333	1.1380000114440918	0.9760000109672546	0.9394999742507935	0.9581999778747559	1.0770000219345093	0.9674000144004822	1.0484999418258667	600	Absorbance
D5	0.996399998664856	0.0820000022649765	1.1309000253677368	0.9785000085830688	1.094099998474121	0.9366000294685364	0.8977000117301941	0.9264000058174133	1.0520000457763672	0.9330999851226807	1.017899990081787	600	Absorbance
D6	0.9520000219345093	0.08009999990463257	1.065999984741211	0.9205999970436096	1.051200032234192	0.8855000138282776	0.8521999716758728	0.8766999840736389	1.0187000036239624	0.9097999930381775	0.9872999787330627	600	Absorbance
D7	0.9052000045776367	0.08910000324249268	1.037500023841858	0.8834999799728394	1.030400037765503	0.847599983215332	0.7991999983787537	0.8216000199317932	0.9449999928474426	0.8345000147819519	0.9472000002861023	600	Absorbance
D8	0.829200029373169	0.08829999715089798	0.9526000022888184	0.8112999796867371	0.9646999835968018	0.7767000198364258	0.7272999882698059	0.7437999844551086	0.8662999868392944	0.7558000087738037	0.8647000193595886	600	Absorbance
D9	0.7631999850273132	0.09640000015497208	0.8956000208854675	0.7427999973297119	0.9190000295639038	0.7114999890327454	0.6545000076293945	0.6690999865531921	0.7994999885559082	0.6826000213623047	0.7940000295639038	600	Absorbance
D10	0.6974999904632568	0.10170000046491623	0.8417999744415283	0.6807000041007996	0.8616999983787537	0.64410001039505	0.5835000276565552	0.5997999906539917	0.7312999963760376	0.6111000180244446	0.7239000201225281	600	Absorbance
D11	0.6273999810218811	0.1031000018119812	0.76419997215271	0.6104999780654907	0.8083999752998352	0.5809000134468079	0.5192000269889832	0.5210000276565552	0.6438999772071838	0.5439000129699707	0.654699981212616	600	Absorbance
