Filename_full	Sample_concentration	cc_sampling_time	Filename	type_of_cell
./data/JF_chlamy_calib_exp_C5_03.#m4	665302540.0224401	2019-09-09 19:57:53	JF_chlamy_calib_exp_C5_03.#m4	b
./data/JF_chlamy_calib_exp_C5_03.#m4	2146850.5083359997	2019-09-09 19:57:53	JF_chlamy_calib_exp_C5_03.#m4	c
./data/JF_chlamy_calib_exp_C5_04.#m4	670034455.843248	2019-09-09 19:58:22	JF_chlamy_calib_exp_C5_04.#m4	b
./data/JF_chlamy_calib_exp_C5_04.#m4	2323744.557712	2019-09-09 19:58:22	JF_chlamy_calib_exp_C5_04.#m4	c
./data/JF_chlamy_calib_exp_D7_01.#m4	770301219.285008	2019-09-09 19:52:58	JF_chlamy_calib_exp_D7_01.#m4	b
./data/JF_chlamy_calib_exp_D7_01.#m4	2520740.2036079997	2019-09-09 19:52:58	JF_chlamy_calib_exp_D7_01.#m4	c
./data/JF_chlamy_calib_exp_D7_02.#m4	963586110.463416	2019-09-09 19:53:28	JF_chlamy_calib_exp_D7_02.#m4	b
./data/JF_chlamy_calib_exp_D7_02.#m4	3095645.86408	2019-09-09 19:53:28	JF_chlamy_calib_exp_D7_02.#m4	c
./data/JF_chlamy_calib_exp_D7_03.#m4	967011422.5104239	2019-09-09 19:53:57	JF_chlamy_calib_exp_D7_03.#m4	b
./data/JF_chlamy_calib_exp_D7_03.#m4	3369027.576752	2019-09-09 19:53:57	JF_chlamy_calib_exp_D7_03.#m4	c
./data/JF_chlamy_calib_exp_D7_04.#m4	983028374.61756	2019-09-09 19:54:27	JF_chlamy_calib_exp_D7_04.#m4	b
./data/JF_chlamy_calib_exp_D7_04.#m4	3200174.165984	2019-09-09 19:54:27	JF_chlamy_calib_exp_D7_04.#m4	c
./data/JF_chlamy_calib_exp_E4_01.#m4	747047692.430672	2019-09-09 20:13:57	JF_chlamy_calib_exp_E4_01.#m4	b
./data/JF_chlamy_calib_exp_E4_01.#m4	4120827.2866	2019-09-09 20:13:57	JF_chlamy_calib_exp_E4_01.#m4	c
./data/JF_chlamy_calib_exp_E4_02.#m4	798391190.262056	2019-09-09 20:14:26	JF_chlamy_calib_exp_E4_02.#m4	b
./data/JF_chlamy_calib_exp_E4_02.#m4	4659550.073336	2019-09-09 20:14:26	JF_chlamy_calib_exp_E4_02.#m4	c
