well,row,col,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750
A1,A,1,1.633599997,1.456099987,1.31340003,1.227599978,1.181800008,1.160300016,1.141600013,1.144999981,1.155900002,1.166000009,1.17019999,1.174999952,1.182299972,1.176900029,1.19599998,1.305500031,1.36469996,1.497200012,1.549700022,1.31400001,1.057199955,0.975399971,0.940800011,0.918200016,0.907000005,0.89380002
A2,A,2,1.546000004,1.407400012,1.25090003,1.173900008,1.134199977,1.111600041,1.094200015,1.095600009,1.105200052,1.113100052,1.115499973,1.118899941,1.124600053,1.119300008,1.135100007,1.232599974,1.289299965,1.405200005,1.450299978,1.254500031,1.009199977,0.934400022,0.901600003,0.880800009,0.869700015,0.856599987
A3,A,3,1.457399964,1.330899954,1.185899973,1.114500046,1.076400042,1.054700017,1.037899971,1.038400054,1.045400023,1.051100016,1.05309999,1.055099964,1.059100032,1.053799987,1.066900015,1.156399965,1.203699946,1.314800024,1.357900023,1.166000009,0.952899992,0.884299994,0.853900015,0.834200025,0.823800027,0.811500013
A4,A,4,1.37469995,1.260100007,1.131100059,1.065799952,1.031700015,1.01030004,0.993799984,0.992799997,0.998199999,1.001899958,1.002300024,1.002599955,1.005699992,0.999499977,1.009699941,1.088600039,1.130499959,1.228700042,1.267699957,1.097800016,0.907100022,0.844200015,0.816699982,0.797800004,0.788100004,0.77640003
A5,A,5,1.322100043,1.202000022,1.102300048,1.041100025,1.005900025,0.987399995,0.970200002,0.967700005,0.971300006,0.973500013,0.972599983,0.972100019,0.973699987,0.966799974,0.975499988,1.046499968,1.082800031,1.171900034,1.20720005,1.053900003,0.878799975,0.821200013,0.79460001,0.77670002,0.766700029,0.755200028
A6,A,6,1.243700027,1.136100054,1.047299981,0.992600024,0.960099995,0.942700028,0.925800025,0.922299981,0.924499989,0.924799979,0.923200011,0.92110002,0.921800017,0.914499998,0.921000004,0.98210001,1.013900042,1.091899991,1.122900009,0.987999976,0.833299994,0.781099975,0.757000029,0.74000001,0.730499983,0.719200015
A7,A,7,1.156399965,1.075600028,0.982900023,0.935299993,0.907700002,0.889699996,0.874100029,0.869799972,0.870299995,0.869000018,0.86619997,0.863799989,0.862699986,0.855700016,0.859499991,0.910899997,0.936800003,1.003200054,1.029000044,0.913600028,0.779200017,0.733200014,0.710799992,0.695299983,0.686100006,0.675400019
A8,A,8,1.081900001,1.001000047,0.934300005,0.891600013,0.864899993,0.849699974,0.834500015,0.829200029,0.827899992,0.824899971,0.820800006,0.816600025,0.814499974,0.806100011,0.807699978,0.850199997,0.870999992,0.925800025,0.947700024,0.850199997,0.735300004,0.695900023,0.676699996,0.662500024,0.654399991,0.64410001
A9,A,9,0.993200004,0.926699996,0.870999992,0.834299982,0.810899973,0.796800017,0.781899989,0.775200009,0.772400022,0.76789999,0.762600005,0.757000029,0.753600001,0.745100021,0.744400024,0.776799977,0.791499972,0.834800005,0.851300001,0.772300005,0.67839998,0.645900011,0.629299998,0.616699994,0.609399974,0.599600017
A10,A,10,0.917299986,0.870899975,0.816100001,0.786000013,0.76639998,0.752200007,0.738799989,0.731299996,0.726999998,0.721599996,0.715499997,0.709100008,0.704599977,0.696200013,0.693799973,0.717100024,0.727400005,0.758099973,0.768599987,0.709100008,0.631099999,0.603799999,0.589100003,0.577400029,0.570500016,0.561399996
A11,A,11,0.806699991,0.769200027,0.737500012,0.7148,0.697600007,0.686399996,0.673600018,0.665300012,0.659600019,0.652499974,0.645099998,0.637700021,0.632200003,0.623300016,0.618799984,0.630200028,0.632499993,0.649100006,0.652400017,0.611299992,0.561999977,0.542500019,0.531300008,0.521899998,0.515799999,0.507600009
A12,A,12,0.626600027,0.61500001,0.604399979,0.594200015,0.583800018,0.575299978,0.564700007,0.555599988,0.547299981,0.537400007,0.528500021,0.519599974,0.511799991,0.503000021,0.494899988,0.487500012,0.479400009,0.471899986,0.463999987,0.457199991,0.449800014,0.444599986,0.439399987,0.433899999,0.430299997,0.424199998
B1,B,1,1.602800012,1.424999952,1.278499961,1.192000031,1.145699978,1.123299956,1.105100036,1.108299971,1.119600058,1.129899979,1.135400057,1.140300035,1.149000049,1.143700004,1.163599968,1.275699973,1.336500049,1.47420001,1.528100014,1.291599989,1.029000044,0.946099997,0.911000013,0.888499975,0.877099991,0.864199996
B2,B,2,1.517799973,1.354599953,1.22179997,1.142099977,1.09860003,1.077100039,1.059100032,1.061499953,1.070799947,1.078999996,1.08220005,1.085399985,1.092499971,1.087100029,1.103800058,1.204599977,1.259299994,1.38440001,1.434900045,1.221300006,0.982299984,0.906000018,0.873099983,0.851899981,0.841300011,0.828499973
B3,B,3,1.4296,1.281000018,1.159500003,1.085700035,1.045300007,1.024700046,1.007200003,1.0079,1.015799999,1.022600055,1.024700046,1.027099967,1.032400012,1.02699995,1.040799975,1.131500006,1.184700012,1.293499947,1.338400006,1.156599998,0.92930001,0.858900011,0.827799976,0.808000028,0.797399998,0.785099983
