well,row,col,B_lbl,C_lbl,B_cc,C_cc,A600,A600_sdv,A680,A680_sdv,A720,A720_sdv,A750,A750_sdv,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750
A1,A,1,0.4,0.5,779407242.5,4446473.15,1.2992000579833984,0.06179999932646753,1.686400055885315,0.06859999895095825,1.0664000511169434,0.06599999964237213,1.0276999473571775,0.06930000334978104,1.6335999965667725,1.4560999870300293,1.3134000301361084,1.2275999784469604,1.1818000078201294,1.1603000164031982,1.1416000127792358,1.1449999809265137,1.1559000015258791,1.1660000085830688,1.170199990272522,1.1749999523162842,1.1822999715805054,1.176900029182434,1.1959999799728394,1.305500030517578,1.3646999597549438,1.4972000122070312,1.5497000217437744,1.3140000104904177,1.0571999549865725,0.9753999710083008,0.9408000111579896,0.9182000160217284,0.9070000052452089,0.8938000202178955
A2,A,2,0.4,0.46,779407242.5,4081862.352,1.2345999479293823,0.07460000365972519,1.58650004863739,0.07419999688863754,1.0232000350952148,0.0714000016450882,0.98580002784729,0.07429999858140945,1.5460000038146973,1.4074000120162964,1.2509000301361084,1.1739000082015991,1.1341999769210815,1.111600041389465,1.0942000150680542,1.0956000089645386,1.1052000522613523,1.1131000518798828,1.1154999732971191,1.118899941444397,1.1246000528335571,1.1193000078201294,1.13510000705719,1.2325999736785889,1.2892999649047852,1.4052000045776367,1.4502999782562256,1.2545000314712524,1.0091999769210815,0.9344000220298768,0.9016000032424928,0.8808000087738037,0.869700014591217,0.8565999865531921
A3,A,3,0.4,0.42,779407242.5,3717251.5539999995,1.1739000082015991,0.07680000364780426,1.4931000471115112,0.08179999887943268,0.982200026512146,0.07580000162124634,0.9474999904632568,0.07970000058412552,1.4573999643325806,1.330899953842163,1.1858999729156494,1.1145000457763672,1.0764000415802002,1.0547000169754028,1.0378999710083008,1.0384000539779663,1.0454000234603882,1.0511000156402588,1.0530999898910522,1.0550999641418457,1.0591000318527222,1.0537999868392944,1.0669000148773191,1.1563999652862549,1.2036999464035034,1.3148000240325928,1.3579000234603882,1.1660000085830688,0.9528999924659728,0.8842999935150146,0.8539000153541565,0.8342000246047974,0.8238000273704529,0.8115000128746033
A4,A,4,0.4,0.38,779407242.5,3352640.755,1.116000056266785,0.07320000231266023,1.395699977874756,0.07909999787807465,0.9381999969482422,0.07419999688863754,0.9061999917030334,0.0786999985575676,1.374699950218201,1.26010000705719,1.131100058555603,1.0657999515533447,1.0317000150680542,1.0103000402450562,0.9937999844551086,0.992799997329712,0.998199999332428,1.0018999576568604,1.0023000240325928,1.0025999546051023,1.0056999921798706,0.9994999766349792,1.0096999406814575,1.0886000394821167,1.1304999589920044,1.228700041770935,1.267699956893921,1.0978000164031982,0.9071000218391418,0.8442000150680542,0.8166999816894531,0.7978000044822693,0.788100004196167,0.7764000296592712
A5,A,5,0.4,0.34,779407242.5,2988029.957,1.0906000137329102,0.07850000262260437,1.339400053024292,0.08789999783039093,0.91839998960495,0.0803999975323677,0.8870000243186951,0.08569999784231186,1.322100043296814,1.2020000219345093,1.102300047874451,1.0411000251770022,1.0059000253677368,0.9873999953269958,0.9702000021934508,0.9677000045776368,0.9713000059127808,0.9735000133514404,0.972599983215332,0.9721000194549559,0.973699986934662,0.9667999744415284,0.975499987602234,1.0464999675750732,1.082800030708313,1.1719000339508057,1.2072000503540041,1.0539000034332275,0.8787999749183655,0.8212000131607056,0.7946000099182129,0.7767000198364258,0.7667000293731691,0.7552000284194946
A6,A,6,0.4,0.3,779407242.5,2623419.159,1.0450999736785889,0.08169999718666078,1.2630000114440918,0.09279999881982803,0.8870999813079834,0.08449999988079071,0.8585000038146973,0.09059999883174896,1.2437000274658203,1.1361000537872314,1.0472999811172483,0.9926000237464904,0.960099995136261,0.9427000284194946,0.9258000254631042,0.9222999811172484,0.9244999885559082,0.9247999787330629,0.9232000112533568,0.9211000204086304,0.9218000173568726,0.9144999980926514,0.9210000038146972,0.9821000099182128,1.0139000415802002,1.0918999910354614,1.1229000091552734,0.9879999756813048,0.8332999944686891,0.7810999751091003,0.7570000290870667,0.7400000095367432,0.7304999828338623,0.7192000150680542
A7,A,7,0.4,0.25,779407242.5,2258808.36,0.9882000088691713,0.08420000225305557,1.1691999435424805,0.09120000153779984,0.8407999873161316,0.08579999953508377,0.8130999803543091,0.08869999647140503,1.1563999652862549,1.0756000280380251,0.9829000234603882,0.9352999925613404,0.9077000021934508,0.8896999955177307,0.8741000294685364,0.8697999715805054,0.8702999949455261,0.8690000176429749,0.8661999702453613,0.8637999892234802,0.8626999855041504,0.8557000160217285,0.8594999909400941,0.9108999967575072,0.9368000030517578,1.0032000541687012,1.0290000438690186,0.9136000275611876,0.77920001745224,0.7332000136375427,0.7107999920845032,0.6952999830245972,0.6861000061035156,0.6754000186920166
A8,A,8,0.4,0.21,779407242.5,1894197.562,0.9354000091552734,0.08720000088214874,1.0782999992370603,0.09009999781847,0.7994999885559082,0.08619999885559082,0.7734000086784363,0.08969999849796295,1.0819000005722046,1.0010000467300415,0.9343000054359436,0.8916000127792358,0.8648999929428101,0.8496999740600586,0.8345000147819519,0.8292000293731691,0.8278999924659729,0.8248999714851379,0.8208000063896179,0.8166000247001648,0.8144999742507935,0.8061000108718872,0.807699978351593,0.8501999974250793,0.8709999918937683,0.9258000254631042,0.9477000236511229,0.8501999974250793,0.7353000044822693,0.695900022983551,0.6766999959945679,0.6625000238418579,0.6543999910354614,0.64410001039505
A9,A,9,0.4,0.17,779407242.5,1529586.764,0.8892999887466431,0.09440000355243684,0.992799997329712,0.09640000015497208,0.7641000151634216,0.093299999833107,0.7408999800682068,0.09629999846220016,0.9932000041007996,0.926699995994568,0.8709999918937683,0.8342999815940857,0.8108999729156494,0.7968000173568726,0.7818999886512756,0.7752000093460083,0.7724000215530396,0.7678999900817871,0.7626000046730042,0.7570000290870667,0.753600001335144,0.7451000213623047,0.7444000244140625,0.7767999768257141,0.7914999723434448,0.8348000049591064,0.8513000011444092,0.7723000049591064,0.6783999800682068,0.6459000110626221,0.6292999982833862,0.6166999936103821,0.6093999743461609,0.5996000170707703
A10,A,10,0.4,0.13,779407242.5,1164975.965,0.8428000211715698,0.09629999846220016,0.9059000015258788,0.09549999982118608,0.7225000262260437,0.09610000252723694,0.6988000273704529,0.098300002515316,0.91729998588562,0.8708999752998352,0.816100001335144,0.7860000133514404,0.7663999795913696,0.7522000074386597,0.7387999892234802,0.7312999963760376,0.7269999980926514,0.7215999960899353,0.715499997138977,0.7091000080108643,0.7045999765396118,0.6962000131607056,0.6937999725341797,0.7171000242233276,0.727400004863739,0.7580999732017517,0.7685999870300293,0.7091000080108643,0.6310999989509583,0.6037999987602234,0.5891000032424927,0.5774000287055969,0.5705000162124634,0.5613999962806702
