,1,2,3,4,5,6,7,8,9,10,11,12
A,ICL_186B,ICL_115,ICL_163,ICL_60,ICL_186B,ICL_115,ICL_163,ICL_60,ICL_186B,ICL_115,ICL_163,ICL_60
B,ICL_129B,ICL_117,ICL_170,ICL_24,ICL_129B,ICL_117,ICL_170,ICL_24,ICL_129B,ICL_117,ICL_170,ICL_24
C,ICL_100,ICL_118B,ICL_116,BLANK,ICL_100,ICL_118B,ICL_116,BLANK,ICL_100,ICL_118B,ICL_116,BLANK
D,ICL_101,ICL_132,ICL_199,ICL_129A,ICL_101,ICL_132,ICL_199,ICL_129A,ICL_101,ICL_132,ICL_199,ICL_129A
E,ICL_103,ICL_139A,ICL_201,ICL_184BA,ICL_103,ICL_139A,ICL_201,ICL_184BA,ICL_103,ICL_139A,ICL_201,ICL_184BA
F,ICL_108,ICL_144,ICL_208B,ICL_20BA,ICL_108,ICL_144,ICL_208B,ICL_20BA,ICL_108,ICL_144,ICL_208B,ICL_20BA
G,ICL_112,ICL_160,ICL_41,ICL_162,ICL_112,ICL_160,ICL_41,ICL_162,ICL_112,ICL_160,ICL_41,ICL_162
H,ICL_114B,ICL_172,ICL_48,CHLAMY,ICL_114B,ICL_172,ICL_48,CHLAMY,ICL_114B,ICL_172,ICL_48,CHLAMY
