time,Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8
4/18/2019 5:00,0.005423848,0.016571883,0.025669677,0.013021387,0.010889387,0.011937372,0.012960174,0.010399319,0.013579647,0.017017987,0.002792138,0.01033014,0.002428436,0.014312414,-0.0095001,0.014860404
4/18/2019 5:20,0.006320181,0.016895959,0.02697835,0.013599032,0.01112841,0.01248029,0.015265205,0.009708092,0.014849963,0.017575379,0.003612978,0.01022468,0.005892773,0.013562371,-0.008089806,0.014376131
4/18/2019 5:40,0.012797454,0.014155905,0.029717139,0.01281506,0.012242069,0.01280916,0.015611758,0.010195189,0.016143541,0.01731511,0.004082039,0.010930597,0.008845332,0.012770164,-0.004692902,0.013389969
4/18/2019 6:00,0.008203428,0.01942619,0.030035071,0.013541287,0.013425969,0.012956438,0.017421378,0.010359707,0.017701601,0.01729794,0.004035908,0.011117697,0.008311111,0.013692593,-0.006723039,0.016219909
4/18/2019 6:20,0.013774124,0.016761712,0.032963214,0.013315307,0.016247507,0.01242629,0.019019576,0.010558874,0.018377372,0.018084416,0.005193983,0.011032839,0.006624072,0.01538758,-0.006123108,0.015275749
4/18/2019 6:40,0.012337908,0.017357674,0.032773505,0.013964043,0.01740671,0.012725199,0.020652908,0.01019216,0.020525167,0.017746069,0.005774528,0.011087838,0.009024013,0.014346495,-0.005049383,0.015273711
4/18/2019 7:00,0.012814272,0.019050973,0.034609319,0.014589931,0.019077415,0.012922566,0.023530291,0.009794233,0.023519623,0.017670146,0.006395981,0.01116533,0.003974217,0.017538864,-0.004132098,0.015158373
4/18/2019 7:20,0.022277504,0.017193923,0.037362657,0.014441923,0.020062557,0.013631131,0.024412614,0.009928522,0.02530499,0.017434606,0.007896766,0.01088736,0.020482141,0.009964378,-0.000732421,0.015400662
4/18/2019 7:40,0.017132545,0.018982977,0.038250525,0.015181013,0.021738912,0.013637257,0.024607669,0.010694614,0.025287081,0.018776712,0.007336932,0.011399425,0.011101341,0.015204495,-0.002457413,0.015405355
4/18/2019 8:00,0.017387693,0.019763306,0.04065903,0.015653274,0.022237397,0.014446054,0.026447143,0.010573648,0.026865387,0.01951807,0.007283266,0.011871723,0.016331728,0.012146882,0.002609439,0.013802198
4/18/2019 8:20,0.021441319,0.016781832,0.041259722,0.016151174,0.02457549,0.014702244,0.028461444,0.010757495,0.028495043,0.019664163,0.006552194,0.012456102,0.005973655,0.018553348,0.001427942,0.014496206
4/18/2019 8:40,0.020054118,0.020600011,0.043042022,0.016428244,0.025357198,0.015385006,0.029190999,0.011499194,0.030543464,0.020066997,0.006809795,0.012914083,0.00953741,0.017005603,-0.001685104,0.016872771
4/18/2019 9:00,0.026943318,0.017236088,0.045400569,0.017179045,0.027884467,0.015399746,0.03114598,0.011619446,0.031613634,0.020910255,0.006225937,0.013651035,0.011977975,0.014488475,0.002114006,0.014636522
4/18/2019 9:20,0.023583806,0.02069639,0.046240227,0.01845779,0.029565986,0.016306204,0.03109894,0.012757541,0.033722197,0.021464817,0.005520012,0.014331395,0.005323315,0.019727312,0.000909378,0.015201583
4/18/2019 9:40,0.028307028,0.020066268,0.04916038,0.018364581,0.031224421,0.0169548,0.032886248,0.01329252,0.035000671,0.022309816,0.006214253,0.014478246,0.010203058,0.017878137,0.000514412,0.016769123
4/18/2019 10:00,0.024585696,0.023999585,0.051272908,0.019918243,0.034187885,0.017142568,0.036658996,0.013233021,0.03830263,0.023491431,0.005591087,0.015208539,0.004325425,0.022612221,-0.001434023,0.018583895
4/18/2019 10:20,0.027989934,0.022919443,0.052574256,0.020715817,0.0367767,0.018306352,0.038353622,0.013725868,0.040942525,0.024137301,0.005416767,0.016110542,0.006574773,0.02148665,-0.001262631,0.019425046
4/18/2019 10:40,0.035026453,0.02143735,0.056748814,0.02116629,0.040580406,0.017754587,0.043303727,0.012922076,0.043086099,0.025035975,0.00611485,0.016418154,0.01069758,0.020642336,-1.65E-05,0.019430371
4/18/2019 11:00,0.032231871,0.026129742,0.061393594,0.021485005,0.043344139,0.018726063,0.046176447,0.013567339,0.047030866,0.025694593,0.005826843,0.017150971,0.007244144,0.024540998,-0.001059245,0.02090801
4/18/2019 11:20,0.038773824,0.023308857,0.061753097,0.023360236,0.044993824,0.0194161,0.048528853,0.014467258,0.048352739,0.027552332,0.006140688,0.017688651,0.009710303,0.021956341,0.000523852,0.020613005
4/18/2019 11:40,0.036173591,0.028262152,0.06584968,0.0239084,0.048870398,0.019688475,0.051648654,0.014696926,0.051640919,0.028179739,0.006140037,0.0184229,0.008140337,0.026286386,-0.00083291,0.023383273
4/18/2019 12:00,0.044409018,0.025768444,0.069530534,0.02519322,0.051941776,0.021029145,0.057581081,0.014527614,0.055207961,0.029365194,0.006446448,0.018992049,0.012566906,0.023082061,0.000678476,0.02337822
4/18/2019 12:20,0.050934869,0.029191847,0.075517115,0.024928208,0.05787407,0.021160435,0.063499109,0.014283783,0.059392715,0.030195647,0.006427079,0.019805091,0.010179568,0.027350034,-1.26E-06,0.025907143
4/18/2019 12:40,0.051832535,0.026369739,0.078451266,0.026475562,0.062834348,0.021700087,0.064887667,0.015883696,0.06345311,0.031730617,0.006375001,0.020311836,0.009521766,0.025277054,-0.000147544,0.025055396
4/18/2019 13:00,0.055609054,0.026953535,0.082615421,0.028915109,0.066696231,0.023300124,0.069115212,0.017614126,0.068831815,0.032526655,0.005895015,0.0209627,0.008516207,0.026615431,-0.000649902,0.026251446
4/18/2019 13:20,0.060543821,0.029426711,0.090402566,0.028271224,0.072744576,0.022573532,0.073876835,0.016825736,0.074862906,0.033622978,0.00503445,0.022348223,0.006631936,0.028981665,-0.001851758,0.027701748
4/18/2019 13:40,0.068175667,0.028379484,0.092674865,0.030103088,0.078562725,0.02302496,0.081663172,0.017263195,0.077424413,0.034306864,0.005067552,0.022877905,0.008257329,0.027764733,-0.002599861,0.029013232
4/18/2019 14:00,0.07218457,0.031949263,0.103273038,0.031718807,0.087093234,0.023454023,0.085785007,0.018606513,0.083698146,0.037356352,0.005182235,0.023663624,0.005418738,0.030717219,-0.002264309,0.02948314
4/18/2019 14:20,0.077869951,0.034389333,0.108435621,0.032898901,0.097160229,0.023398202,0.095625155,0.018654701,0.09268842,0.037436489,0.003964125,0.024951046,0.006025905,0.033081552,-0.004175783,0.031734403
4/18/2019 14:40,0.083311733,0.034826855,0.116071075,0.032792611,0.098541044,0.025425231,0.101630222,0.018829067,0.098253044,0.037826931,0.004485867,0.025209047,0.002451179,0.03493131,-0.003898777,0.031811122
4/18/2019 15:00,0.094215062,0.034651284,0.126245045,0.033595399,0.109204439,0.027198381,0.112076755,0.018160664,0.107021282,0.040569748,0.00379601,0.026305947,0.004297525,0.034369999,-0.003340164,0.03255553
