time,A680_V1,A720_V1,A680_V2,A720_V2,A680_V3,A720_V3,A680_V4,A720_V4,A680_V5,A720_V5,A680_V6,A720_V6,A680_V7,A720_V7,A680_V8,A720_V8,Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8
2019-07-01 21:20:00,-0.00452074999999999,-0.005573208333333326,-0.0020274166666666613,-0.004596541666666662,0.002429250000000008,0.0050534583333333395,-0.007414083333333324,0.002756791666666668,0.0013025833333333476,-0.005656541666666663,-0.00818741666666666,0.0001501250000000056,-0.009177416666666655,-0.009116541666666663,0.019229250000000007,0.017453458333333338,-0.0034521214292053902,0.000735369918779616,-0.0037459761440708918,0.0014484134448135557,0.004012510341243535,-0.001493259874221579,0.006806531692297584,-0.00513987867558462,-0.0066163426772344654,0.003661912406714475,0.0044833352399801345,-0.004132204892346503,-0.004705105560629542,0.0003207232509931765,0.008131141410971654,0.00020717801357447827
2019-07-01 21:40:00,-0.0049774166666666595,-0.006064041666666661,-0.0043824166666666595,-0.006521541666666662,0.001787583333333339,0.005413458333333336,-0.007372416666666657,0.0029259583333333377,-3.991666666666033e-05,-0.005889041666666664,-0.01012741666666666,-0.002469041666666663,-0.009394916666666656,-0.009219041666666664,0.019922583333333344,0.017185958333333338,-0.0037252281140590757,0.0007711695318879532,-0.004519072653971979,0.0013096812057762485,0.004728831591134813,-0.002002860743232763,0.006961803994013052,-0.005209491553298439,-0.00615066459068116,0.003121497517822989,0.0027634729179496593,-0.0036952717596750125,-0.004697605302984301,0.0002677520258673429,0.007484461556406841,0.0006930097169371695
2019-07-01 22:00:00,-0.005017416666666656,-0.006026541666666665,-0.0026674166666666617,-0.005231541666666662,0.003322583333333344,0.005613458333333337,-0.0066649166666666575,0.0033259583333333387,0.0012200833333333404,-0.005966541666666662,-0.008687416666666661,-0.0022340416666666654,-0.009149916666666657,-0.009916541666666664,0.02076508333333334,0.017348458333333337,-0.003664792973385343,0.0007313699343193541,-0.004073302235691873,0.0014703769163058285,0.004127381639615145,-0.0013498377846990878,0.007007183375790306,-0.005072697305764097,-0.006897634066094318,0.0037864374123099983,0.002248898560338995,-0.0031079355562377087,-0.005558041199675231,0.0007610587911843274,0.0072096090890295846,0.0010233023903165122
2019-07-01 22:20:00,-0.004769916666666657,-0.006259041666666662,-0.0030474166666666566,-0.004334041666666663,0.003962583333333342,0.0059734583333333376,-0.006789916666666658,0.0030034583333333354,0.00252758333333334,-0.005734041666666663,-0.008404916666666656,-0.0018815416666666598,-0.008654916666666658,-0.008866541666666661,0.020767583333333343,0.01710095833333334,-0.004039226659470499,0.0009778799785738913,-0.002931934743158201,0.0008035744690483952,0.004166505873616515,-0.001225114467557978,0.006735247720315287,-0.004962538875885105,-0.007344819126205896,0.004309530054245438,0.002469055799475654,-0.0031561460699381415,-0.004719178338050218,0.0004459680259494897,0.006948906486711809,0.0011565578034405603
2019-07-01 22:40:00,-0.005559916666666659,-0.00672654166666666,-0.0025024166666666597,-0.004844041666666663,0.005375083333333343,0.006618458333333337,-0.00599991666666666,0.002885958333333336,0.0034975833333333387,-0.005344041666666664,-0.00930491666666666,-0.002116541666666664,-0.008242416666666655,-0.009529041666666661,0.02143508333333334,0.017063458333333337,-0.004111755792024856,0.0008362596593856368,-0.003754381028505105,0.001345343917322999,0.004096144520609179,-0.0008700852677044818,0.006194692901206105,-0.0045088757517858374,-0.0074486175102914,0.004581575218991326,0.002698309177699667,-0.0034762247489107576,-0.005631436339145101,0.0010035048883404395,0.006556917800547102,0.0015069205428639607
2019-07-01 23:00:00,-0.004149916666666658,-0.006569041666666662,-0.0018724166666666611,-0.004534041666666665,0.005375083333333343,0.006218458333333338,-0.006372416666666658,0.002290958333333336,0.00447008333333334,-0.004404041666666662,-0.008732416666666657,-0.002036541666666662,-0.007747416666666658,-0.008366541666666664,0.023892583333333342,0.018245958333333333,-0.004691699507625023,0.0014500872266443121,-0.003762373410412267,0.0014917883462541677,0.0036769418186170136,-0.0006567226660559237,0.0057679475205511385,-0.004375857081580081,-0.006977333109597798,0.00456148410982445,0.0024796566427298487,-0.0032355548011737414,-0.004674672717584796,0.0006284058913919475,0.00649771114601017,0.00209243654872554
2019-07-01 23:20:00,-0.002774916666666658,-0.005871541666666664,-0.0009074166666666571,-0.003551541666666663,0.007397583333333339,0.007665958333333335,-0.008159916666666656,0.0012934583333333392,0.00532008333333334,-0.004716541666666664,-0.0074149166666666565,-0.0014465416666666637,-0.005962416666666656,-0.007936541666666663,0.025415083333333345,0.018410958333333338,-0.004687226549094037,0.0017585530347213878,-0.003242585931251629,0.0014453155506001243,0.00412529885421136,-0.0004278501673830721,0.005667026061446385,-0.0047284559918312615,-0.0077539515769711265,0.005148856782723469,0.002401850275683277,-0.0028982057710456887,-0.0051671741614713025,0.0012824756893780168,0.00586618561036681,0.0027579422181334434
2019-07-01 23:40:00,-0.0021474166666666586,-0.004549041666666665,-2.7416666666658235e-05,-0.004139041666666662,0.008565083333333341,0.008350958333333339,-0.007124916666666656,0.0022084583333333366,0.006892583333333348,-0.003341541666666663,-0.006017416666666659,-0.00018404166666666395,-0.005837416666666659,-0.007546541666666663,0.026995083333333343,0.018693458333333336,-0.003632791161123404,0.0013636860748756398,-0.004323257421766048,0.0021942226523805623,0.004226308956495333,-0.00021541295638674457,0.006079087031762387,-0.004704279354545021,-0.007143807548290655,0.005193686649224553,0.0029865586766370904,-0.002879978907611174,-0.004824498050035107,0.0011363123204708304,0.005327419467850809,0.0033892306004491596
2019-07-02 00:00:00,-0.0006049166666666599,-0.004389041666666661,0.0009875833333333438,-0.00421654166666666,0.009560083333333344,0.008310958333333339,-0.006704916666666659,0.0023709583333333378,0.008382583333333343,-0.002909041666666664,-0.005232416666666656,9.345833333333775e-05,-0.004257416666666656,-0.006729041666666662,0.028532583333333344,0.019720958333333337,-0.004280124174222652,0.002041757203636175,-0.004940775712087116,0.0027379068181752615,0.003658658363167014,0.0002983700386713773,0.006027471812145983,-0.004583090947992217,-0.007477819180995152,0.0057004211351779415,0.0028626083866654184,-0.0026394859593478633,-0.0048025805786365856,0.0014822282230815991,0.0055918741756173125,0.0036020969801763805
2019-07-02 00:20:00,-0.0011049166666666603,-0.0041165416666666624,0.002465083333333347,-0.0031190416666666623,0.010990083333333341,0.009035958333333337,-0.005997416666666656,0.002010958333333337,0.01043758333333334,-0.0024340416666666625,-0.005807416666666659,0.00040845833333333706,-0.0037574166666666554,-0.006921541666666662,0.03052758333333334,0.019923458333333338,-0.0037303562414658154,0.00164894326046246,-0.004571258200429026,0.002883739462117911,0.003662891037337248,0.0006193878416731842,0.005276366060138116,-0.004040907757325612,-0.00806582081060086,0.00646411640271089,0.003496544520312625,-0.0030920887795668345,-0.00526850797099499,0.001832369645925604,0.004749993036322402,0.00448145023958633
