Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8,T1B_p680_730_560,T1C_p680_730_560,T2B_p680_730_560,T2C_p680_730_560,T3B_p680_730_560,T3C_p680_730_560,T4B_p680_730_560,T4C_p680_730_560,T5B_p680_730_560,T5C_p680_730_560,T6B_p680_730_560,T6C_p680_730_560,T7B_p680_730_560,T7C_p680_730_560,T8B_p680_730_560,T8C_p680_730_560
-0.006048226,-0.011649097,0.009030243,-0.011070303,-0.00303596,-0.012059065,-0.000496211,-0.012452269,0.002032729,-0.010383411,-0.004841795,-0.012326415,-0.002867934,-0.011620278,-0.011998793,-0.014964088,0.000835706,0.022212518,-0.001025956,0.024319402,0.00190038,0.017826461,0.005854763,0.016179902,0.004028496,0.016438216,0.006125944,0.01665206,0.004637997,0.021192532,-0.005712517,0.027620007
0.135797971,0.034145697,0.147725495,0.032078409,0.15259687,0.022647423,0.16248492,0.015576209,0.150279988,0.041418628,-0.000600378,0.020230964,0.010486296,0.025494646,-0.011564348,0.032478724,0.093958065,0.017284689,0.111519328,0.014753434,0.100815041,0.025022083,0.103945391,0.015191328,0.109837889,0.02939943,0.000792128,0.017170158,0.002259944,0.020999469,-0.002806305,0.029496845
0.062866893,0.017881184,0.070516545,0.015248772,0.117571689,0.032112477,0.110610949,0.007499214,0.115288525,0.039567361,-0.000902095,0.075363903,0.022254168,0.05453653,-0.020597887,0.104082216,0.033723932,0.024083966,0.041283693,0.024385513,0.093358931,0.033942596,0.075039703,0.024838985,0.092673967,0.033131871,-0.012923539,0.053012812,-0.005327146,0.044081917,-0.017053733,0.071162834
0.048931066,0.027411486,0.050149769,0.026635264,0.080686452,0.025845856,0.067438119,0.010237471,0.07965469,0.023904264,-0.007338563,0.080151226,0.019566829,0.058099283,-0.029426267,0.100794628,0.036230637,0.010238306,0.030561974,0.013611646,0.071382565,0.010957588,0.04756912,0.010752235,0.066212666,0.010232912,-0.002688479,0.037979466,0.0013686,0.023649805,-0.017500329,0.043260602
0.046641091,0.028825162,0.03988989,0.033450972,0.058773881,0.018095214,0.05030144,0.021124708,0.060565492,0.015310743,-0.011380635,0.083776027,0.017584185,0.056889693,-0.03278501,0.103826203,0.038798526,0.007832988,0.028136747,0.015883334,0.092638976,-0.008953096,-0.011920311,0.066475436,0.069208545,0.0074267,0.016285369,0.020206838,0.011782812,0.01389491,0.012601023,0.015064944
0.041042074,0.022000083,0.03840715,0.035388501,0.051640076,0.02508847,0.044807121,0.01967292,0.054053927,0.021676327,-0.004893742,0.077452379,0.01624104,0.055926269,-0.016723915,0.084680421,0.009423235,0.056649474,0.021200631,0.019596684,0.057212141,0.012007078,0.021596441,0.057470778,0.04469227,0.014657218,-0.000654589,0.02687622,0.006387678,0.017617179,-0.035448779,0.095291889
0.058320158,0.018078909,0.032689847,0.037697079,0.035125853,0.037369672,0.04692747,0.028800762,0.04288759,0.03206715,0.005907958,0.052416484,0.017240923,0.056605635,0.005299419,0.034804286,0.014072202,0.040676147,0.005599994,0.029489567,0.031786941,0.015489928,0.010382861,0.06506975,0.043377677,0.017461958,-0.02300191,0.081817608,-0.003770663,0.021323052,-0.001637131,0.070882506
0.050017198,0.010113613,0.031303858,0.01149956,0.03014108,0.044050393,0.045490673,0.009865447,0.035153666,0.039982702,0.020163692,0.006184005,0.02313886,0.058739473,0.029154757,0.006665558,0.017544322,0.042264954,0.018422757,0.032970176,0.018493267,0.058562061,0.024300027,0.040657046,0.023689424,0.028642088,0.018163424,0.031881797,-0.005434419,0.042366986,0.054818565,0.034581819
0.019378329,0.008041398,0.048622042,0.010484717,0.054918569,0.019716436,0.055083036,0.00841436,0.028748215,0.045724884,0.025992827,-0.006181409,0.0271604,0.047418371,0.016675882,0.018492242,0.02253993,0.022820205,0.034835681,0.031877649,0.033265011,0.055375966,0.038446859,0.040839937,0.022467777,0.04854572,0.031809266,0.021641439,-0.010169408,0.055516223,0.024453263,0.047291086
0.008495613,-0.029019561,0.027974599,-0.016798797,0.070094307,0.003829483,0.013864654,0.009891184,0.02887943,0.0484932,0.039551966,-0.003285211,0.028271303,0.046377799,0.007738433,0.035132992,0.012346519,-0.000914408,0.02010071,0.01118679,0.04340933,0.037765009,0.009721735,0.033737638,0.005325219,0.03652451,0.023260321,0.02178234,0.000267272,0.037268315,0.004668371,0.048879478
0.080153179,-0.067597364,0.026219775,-0.026981818,0.070994277,-0.009210066,0.027395081,0.049231743,0.021317195,0.052296593,0.024372716,0.010323056,0.032552603,0.043014148,0.001249083,0.070850658,0.013552601,0.001949784,0.029126052,0.000796384,0.04656089,0.026825116,-0.023847318,0.089387066,0.006039758,0.028472503,0.008350502,0.039500098,-0.013456422,0.051575514,-0.018033631,0.085756854
0.007149617,-0.03230069,0.068780096,-0.057493038,0.062521226,-0.021662542,0.024751532,0.050122988,0.024883359,0.04106809,-0.002343612,-0.019154561,0.033346989,0.040979088,-0.005330724,0.076846182,0.046985682,-0.010002195,0.035574097,-0.006695773,0.06462924,0.012442255,-0.01956057,0.099652998,0.006021868,0.051363547,0.01785004,0.004338896,-0.007540049,0.035262211,-0.004602451,0.086731119
0.00423252,-0.032864043,0.012792646,-0.033317986,0.070524887,-0.028218169,0.021710481,0.05366294,0.038695173,0.019854845,0.008508216,-0.003791431,0.032404999,0.043360844,0.016518339,0.067991207,0.010677061,-0.001529146,0.017727508,-0.003897256,0.050812556,0.009650583,0.002112575,0.021379569,0.009932814,0.030030115,0.002538203,0.021101916,0.005989246,0.00915534,-0.050491109,0.163844489
