Well	mode	wavelength	abs
E11	Absorbance	510.0	0.5684000253677368
E12	Absorbance	510.0	0.38580000400543213
F1	Absorbance	510.0	1.2365000247955322
F2	Absorbance	510.0	1.1656999588012695
F3	Absorbance	510.0	1.096500039100647
F4	Absorbance	510.0	1.0448999404907227
F5	Absorbance	510.0	0.9837999939918518
F6	Absorbance	510.0	0.9194999933242798
F7	Absorbance	510.0	0.8191999793052673
F8	Absorbance	510.0	0.769599974155426
F9	Absorbance	510.0	0.6653000116348267
F10	Absorbance	510.0	0.5892000198364258
F11	Absorbance	510.0	0.4973999857902527
F12	Absorbance	510.0	0.3167000114917755
G1	Absorbance	510.0	1.1901999711990356
G2	Absorbance	510.0	1.0951999425888062
G3	Absorbance	510.0	1.051800012588501
G4	Absorbance	510.0	0.9832000136375427
G5	Absorbance	510.0	0.9208999872207642
G6	Absorbance	510.0	0.8447999954223633
G7	Absorbance	510.0	0.762499988079071
G8	Absorbance	510.0	0.685699999332428
G9	Absorbance	510.0	0.5913000106811523
G10	Absorbance	510.0	0.5128999948501587
G11	Absorbance	510.0	0.4253000020980835
G12	Absorbance	510.0	0.24199999868869781
H1	Absorbance	510.0	1.080299973487854
H2	Absorbance	510.0	0.9796000123023987
H3	Absorbance	510.0	0.9354000091552734
H4	Absorbance	510.0	0.8991000056266785
H5	Absorbance	510.0	0.8040000200271606
H6	Absorbance	510.0	0.7174000144004822
H7	Absorbance	510.0	0.6399999856948853
H8	Absorbance	510.0	0.5450999736785889
H9	Absorbance	510.0	0.4345000088214874
H10	Absorbance	510.0	0.36910000443458557
H11	Absorbance	510.0	0.27140000462532043
H12	Absorbance	510.0	0.08760000020265579
A1	Absorbance	520.0	1.3134000301361084
A2	Absorbance	520.0	1.2509000301361084
A3	Absorbance	520.0	1.1858999729156494
A4	Absorbance	520.0	1.131100058555603
A5	Absorbance	520.0	1.1023000478744507
A6	Absorbance	520.0	1.0472999811172485
A7	Absorbance	520.0	0.9829000234603882
A8	Absorbance	520.0	0.9343000054359436
A9	Absorbance	520.0	0.8709999918937683
A10	Absorbance	520.0	0.816100001335144
A11	Absorbance	520.0	0.737500011920929
A12	Absorbance	520.0	0.6043999791145325
B1	Absorbance	520.0	1.278499960899353
B2	Absorbance	520.0	1.2217999696731567
B3	Absorbance	520.0	1.159500002861023
B4	Absorbance	520.0	1.1085000038146973
B5	Absorbance	520.0	1.0500999689102173
B6	Absorbance	520.0	0.9973999857902527
B7	Absorbance	520.0	0.942300021648407
B8	Absorbance	520.0	0.8881000280380249
B9	Absorbance	520.0	0.8047999739646912
B10	Absorbance	520.0	0.7347999811172485
B11	Absorbance	520.0	0.6603000164031982
B12	Absorbance	520.0	0.507099986076355
C1	Absorbance	520.0	1.2193000316619873
C2	Absorbance	520.0	1.1858999729156494
C3	Absorbance	520.0	1.1647000312805176
C4	Absorbance	520.0	1.118399977684021
C5	Absorbance	520.0	1.0598000288009644
C6	Absorbance	520.0	1.0077999830245972
C7	Absorbance	520.0	0.9465000033378601
C8	Absorbance	520.0	0.9017999768257141
C9	Absorbance	520.0	0.8206999897956848
C10	Absorbance	520.0	0.7567999958992004
C11	Absorbance	520.0	0.6730999946594238
C12	Absorbance	520.0	0.5095999836921692
D1	Absorbance	520.0	1.2222000360488892
D2	Absorbance	520.0	1.1347999572753906
D3	Absorbance	520.0	1.1017999649047852
D4	Absorbance	520.0	1.0606000423431396
D5	Absorbance	520.0	1.016700029373169
D6	Absorbance	520.0	0.9574000239372253
D7	Absorbance	520.0	0.8966000080108643
D8	Absorbance	520.0	0.8104000091552734
D9	Absorbance	520.0	0.730400025844574
D10	Absorbance	520.0	0.6456000208854675
D11	Absorbance	520.0	0.5717999935150146
D12	Absorbance	520.0	0.4156000018119812
E1	Absorbance	520.0	1.1526000499725342
E2	Absorbance	520.0	1.0925999879837036
E3	Absorbance	520.0	1.0377000570297241
E4	Absorbance	520.0	0.9958999752998352
E5	Absorbance	520.0	0.9470000267028809
E6	Absorbance	520.0	0.8859999775886536
E7	Absorbance	520.0	0.8195000290870667
E8	Absorbance	520.0	0.7523000240325928
E9	Absorbance	520.0	0.6814000010490417
E10	Absorbance	520.0	0.6139000058174133
E11	Absorbance	520.0	0.5385000109672546
E12	Absorbance	520.0	0.3792000114917755
F1	Absorbance	520.0	1.0978000164031982
F2	Absorbance	520.0	1.0405999422073364
F3	Absorbance	520.0	0.9819999933242798
F4	Absorbance	520.0	0.9390000104904175
F5	Absorbance	520.0	0.8877999782562256
F6	Absorbance	520.0	0.8190000057220459
F7	Absorbance	520.0	0.7470999956130981
F8	Absorbance	520.0	0.694599986076355
F9	Absorbance	520.0	0.6147000193595886
F10	Absorbance	520.0	0.5490999817848206
F11	Absorbance	520.0	0.4690999984741211
