,0,1
"('A600', 'A680', 'A600')",-0.7394865021306073,0.7394865021306073
"('A600', 'A680', 'A680')",-0.521046389338642,0.521046389338642
"('A600', 'A680', 'A720')",-1.107999719482093,1.107999719482093
"('A600', 'A680', 'A750')",-1.258202497939099,1.258202497939099
"('A600', 'A680', '500')",-0.38757171605506213,0.38757171605506213
"('A600', 'A680', '510')",-0.4546195925520484,0.4546195925520484
"('A600', 'A680', '520')",-0.5387138355309495,0.5387138355309495
"('A600', 'A680', '530')",-0.6047835638253054,0.6047835638253054
"('A600', 'A680', '540')",-0.6520394679613203,0.6520394679613203
"('A600', 'A680', '550')",-0.6824652615254038,0.6824652615254038
"('A600', 'A680', '560')",-0.713357532255166,0.713357532255166
"('A600', 'A680', '570')",-0.7238392795716916,0.7238392795716916
"('A600', 'A680', '580')",-0.7236371492232262,0.7236371492232262
"('A600', 'A680', '590')",-0.7271067421659407,0.7271067421659407
"('A600', 'A680', '600')",-0.7339500653339499,0.7339500653339499
"('A600', 'A680', '610')",-0.7399427341438697,0.7399427341438697
"('A600', 'A680', '620')",-0.7420938265627212,0.7420938265627212
"('A600', 'A680', '630')",-0.757486460250286,0.757486460250286
"('A600', 'A680', '640')",-0.7537580018350342,0.7537580018350342
"('A600', 'A680', '650')",-0.672217304662688,0.672217304662688
"('A600', 'A680', '660')",-0.6380768838293649,0.6380768838293649
"('A600', 'A680', '670')",-0.5656024071447584,0.5656024071447584
"('A600', 'A680', '680')",-0.5409323075135412,0.5409323075135412
"('A600', 'A680', '690')",-0.6707726538886754,0.6707726538886754
"('A600', 'A680', '700')",-0.9281868076829709,0.9281868076829709
"('A600', 'A680', '710')",-1.0680458460445448,1.0680458460445448
"('A600', 'A680', '720')",-1.1520786098172227,1.1520786098172227
"('A600', 'A680', '730')",-1.2223444599174649,1.2223444599174649
"('A600', 'A680', '740')",-1.2691249297071203,1.2691249297071203
"('A600', 'A680', '750')",-1.3190695843831477,1.3190695843831477
"('A600', 'A720', 'A600')",-0.001906379586627649,0.001906379586627649
"('A600', 'A720', 'A680')",-0.0008509101120033336,0.0008509101120033336
"('A600', 'A720', 'A720')",-0.003654032580675315,0.003654032580675315
"('A600', 'A720', 'A750')",-0.003913339894616952,0.003913339894616952
"('A600', 'A720', '500')",-0.0008720668937336473,0.0008720668937336473
"('A600', 'A720', '510')",-0.0010766572434590116,0.0010766572434590116
"('A600', 'A720', '520')",-0.001371159099042507,0.001371159099042507
"('A600', 'A720', '530')",-0.0015557881329885115,0.0015557881329885115
"('A600', 'A720', '540')",-0.0016261520894028658,0.0016261520894028658
"('A600', 'A720', '550')",-0.001656629932876963,0.001656629932876963
"('A600', 'A720', '560')",-0.0016755747126130371,0.0016755747126130371
"('A600', 'A720', '570')",-0.001586900895130583,0.001586900895130583
"('A600', 'A720', '580')",-0.0015223018321496307,0.0015223018321496307
"('A600', 'A720', '590')",-0.0014536778994885813,0.0014536778994885813
"('A600', 'A720', '600')",-0.0014118906456203062,0.0014118906456203062
"('A600', 'A720', '610')",-0.0013724777818283629,0.0013724777818283629
"('A600', 'A720', '620')",-0.0013441725042095953,0.0013441725042095953
"('A600', 'A720', '630')",-0.0013290287977067994,0.0013290287977067994
"('A600', 'A720', '640')",-0.0012466835495630324,0.0012466835495630324
"('A600', 'A720', '650')",-0.0010676400822191567,0.0010676400822191567
"('A600', 'A720', '660')",-0.000992868305475958,0.000992868305475958
"('A600', 'A720', '670')",-0.0009282164652166802,0.0009282164652166802
"('A600', 'A720', '680')",-0.0009516396455881981,0.0009516396455881981
"('A600', 'A720', '690')",-0.0014033926251085793,0.0014033926251085793
"('A600', 'A720', '700')",-0.002151903844574088,0.002151903844574088
"('A600', 'A720', '710')",-0.002501021665852754,0.002501021665852754
"('A600', 'A720', '720')",-0.002590228736054412,0.002590228736054412
"('A600', 'A720', '730')",-0.0026087264211280825,0.0026087264211280825
"('A600', 'A720', '740')",-0.002614973582117708,0.002614973582117708
"('A600', 'A720', '750')",-0.0026110558616658786,0.0026110558616658786
"('A600', 'A750', 'A600')",0.0075902477821978565,0.0075902477821978565
"('A600', 'A750', 'A680')",0.005909973737317831,0.005909973737317831
"('A600', 'A750', 'A720')",0.0108589682550162,0.0108589682550162
"('A600', 'A750', 'A750')",0.012606828356203525,0.012606828356203525
"('A600', 'A750', '500')",0.003998973294089658,0.003998973294089658
"('A600', 'A750', '510')",0.0046283581532330365,0.0046283581532330365
"('A600', 'A750', '520')",0.005426103073915223,0.005426103073915223
"('A600', 'A750', '530')",0.0060820122885514305,0.0060820122885514305
"('A600', 'A750', '540')",0.00661255324573351,0.00661255324573351
"('A600', 'A750', '550')",0.006974306211111614,0.006974306211111614
"('A600', 'A750', '560')",0.0073490924684272985,0.0073490924684272985
"('A600', 'A750', '570')",0.007579840114915637,0.007579840114915637
"('A600', 'A750', '580')",0.007645315731756974,0.007645315731756974
"('A600', 'A750', '590')",0.007767668838951747,0.007767668838951747
"('A600', 'A750', '600')",0.007900692437696866,0.007900692437696866
"('A600', 'A750', '610')",0.008021096389483673,0.008021096389483673
"('A600', 'A750', '620')",0.008081010339193395,0.008081010339193395
"('A600', 'A750', '630')",0.008296674723049735,0.008296674723049735
"('A600', 'A750', '640')",0.008336570945504995,0.008336570945504995
"('A600', 'A750', '650')",0.007488891459109026,0.007488891459109026
"('A600', 'A750', '660')",0.007144260628152321,0.007144260628152321
"('A600', 'A750', '670')",0.006289541234471119,0.006289541234471119
"('A600', 'A750', '680')",0.005958167895833477,0.005958167895833477
"('A600', 'A750', '690')",0.007176014282646803,0.007176014282646803
"('A600', 'A750', '700')",0.009730475789056725,0.009730475789056725
"('A600', 'A750', '710')",0.011182550694689208,0.011182550694689208
"('A600', 'A750', '720')",0.012187843683389765,0.012187843683389765
"('A600', 'A750', '730')",0.01307720502764309,0.01307720502764309
"('A600', 'A750', '740')",0.013677859103670365,0.013677859103670365
