NAME	ICL-Chlamy PBR exp2
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-109
START	Apr 17, 2019 9:15:43 PM
PLANNED_DURATION	60d 00:00:00
PLANNED_DURATION_SEC	5184000
DURATION	14d 16:43:23
DURATION_SEC	1269803
INOCULUM	85 mL each vessel (4.7x10^5 Chlamy/mL)
MEDIUM	TP NH4-NO3
ORGANISM	1-5 (ICL+Chlamy); 6-8 (Chlamy)
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	1269803
NOTES	The OD was calibrated at the beggining of the experiment with the cultivation vessels inserted into the PBR.

0 OD = 4.7x10^5 Chlamy/mL

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
2.416667	0.04213	0.03137	0.06303	0.04934	0.0258	0.01445	0.02656	0.01688	0.05032	0.02945	0.01376	0.00716	0.03826	0.01962	0.00204	-0.00201								
2.5	0.02701	0.0145	0.06202	0.04658	0.02795	0.01445	0.02996	0.01991	0.04967	0.02945	0.01617	0.0076	0.02294	0.01089	-0.00907	-0.01265								
2.583333	0.02655	0.0163	0.06607	0.05032	0.02687	0.01475	0.03105	0.0193	0.0513	0.03273	0.01753	0.00923	0.02325	0.01283	-0.00506	-0.0104								
2.666667	0.03009	0.01704	0.06354	0.04853	0.02518	0.01475	0.03308	0.02296	0.05081	0.03101	0.0192	0.01116	0.04	0.02129	-0.00578	-0.00998								
2.75	0.03318	0.01764	0.06726	0.04983	0.03105	0.01837	0.03386	0.02235	0.05211	0.03164	0.0192	0.0116	0.04031	0.01901	-0.00276	-0.00885								
2.833333	0.03241	0.019	0.06862	0.05228	0.02903	0.01822	0.03417	0.02296	0.05423	0.0332	0.01859	0.01012	0.03419	0.01568	0.00029	-0.00899								
2.916667	0.03396	0.0199	0.06811	0.05212	0.02996	0.01852	0.037	0.02403	0.05653	0.03525	0.01905	0.01474	0.03434	0.01598	0.00292	-0.00814								
3	0.03583	0.02247	0.07068	0.0513	0.0337	0.02049	0.03969	0.02757	0.05587	0.03273	0.02133	0.0116	0.02907	0.01749	-0.00189	-0.00885								
3.083333	0.05353	0.03871	0.07412	0.05722	0.03323	0.02095	0.03511	0.02311	0.05702	0.03604	0.0221	0.01235	0.04749	0.03446	0.01345	0.0061								
3.166667	0.05779	0.04314	0.07463	0.05673	0.03637	0.02049	0.03684	0.02634	0.05884	0.03746	0.02302	0.01579	0.04701	0.03588	0.01225	0.00362								
