experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
1	29	8	58298650.227304004	2019-03-26 10:36:55	JF_PBR_xp1_d29_t8_01.#m4	b
1	29	8	205036.28450399998	2019-03-26 10:36:55	JF_PBR_xp1_d29_t8_01.#m4	c
1	29	8	62511944.85789601	2019-03-26 10:37:25	JF_PBR_xp1_d29_t8_02.#m4	b
1	29	8	285442.670584	2019-03-26 10:37:25	JF_PBR_xp1_d29_t8_02.#m4	c
1	29	8	67368490.57712801	2019-03-26 10:37:55	JF_PBR_xp1_d29_t8_03.#m4	b
1	29	8	261320.75476	2019-03-26 10:37:55	JF_PBR_xp1_d29_t8_03.#m4	c
1	42	1	41071582.00966399	2019-04-08 14:58:00	JF_PBR_xp1_d42_t1_01.#m4	b
1	42	1	16081.277216	2019-04-08 14:58:00	JF_PBR_xp1_d42_t1_01.#m4	c
1	42	1	9093962.265648	2019-04-08 14:58:30	JF_PBR_xp1_d42_t1_02.#m4	b
1	42	1	24121.915824	2019-04-08 14:58:30	JF_PBR_xp1_d42_t1_02.#m4	c
1	42	2	5909869.37688	2019-04-08 17:33:49	JF_PBR_xp1_d42_t2_01.#m4	b
1	42	2	4020.319304	2019-04-08 17:33:49	JF_PBR_xp1_d42_t2_01.#m4	c
1	42	2	7019477.504784	2019-04-08 17:34:18	JF_PBR_xp1_d42_t2_02.#m4	b
1	42	2	4020.319304	2019-04-08 17:34:18	JF_PBR_xp1_d42_t2_02.#m4	c
1	42	3	67167474.61192799	2019-04-08 17:38:05	JF_PBR_xp1_d42_t3_01.#m4	b
1	42	3	607068.214904	2019-04-08 17:38:05	JF_PBR_xp1_d42_t3_01.#m4	c
1	42	3	67947416.55690399	2019-04-08 17:38:34	JF_PBR_xp1_d42_t3_02.#m4	b
1	42	3	832206.0959279999	2019-04-08 17:38:34	JF_PBR_xp1_d42_t3_02.#m4	c
1	42	4	6987314.950352	2019-04-08 17:40:41	JF_PBR_xp1_d42_t4_01.#m4	b
