ID,SampleID,Second_ID
Chlamy167,ICL_50,ICL_50
Chlamy168,ICL_51,ICL_51
Chlamy169,ICL_52,ICL_52
Chlamy170,ICL_53,ICL_53
Chlamy171,ICL_54,ICL_54
Chlamy172,ICL_55,ICL_55
Chlamy173,ICL_56,ICL_56
Chlamy174,ICL_58,ICL_58
Chlamy175,ICL_59,ICL_59
Chlamy176,ICL_60,ICL_60
Chlamy177,ICL_63A,ICL_63A
Chlamy178,ICL_63B,ICL_63B
Chlamy179,ICL_64,ICL_64
Chlamy180,ICL_7,ICL_7
Chlamy181,ICL_71,ICL_71
Chlamy182,ICL_72,ICL_72
Chlamy183,ICL_73,ICL_73
Chlamy184,ICL_74,ICL_74
Chlamy185,ICL_75,ICL_75
Chlamy186,ICL_77,ICL_77
Chlamy187,ICL_78,ICL_78
Chlamy188,ICL_79,ICL_79
Chlamy189,ICL_80,ICL_80
Chlamy190,ICL_81,ICL_81
Chlamy191,ICL_82,ICL_82
Chlamy192,ICL_83,ICL_83
Chlamy193,ICL_84,ICL_84
Chlamy194,ICL_86,ICL_86
Chlamy195,ICL_86,ICL_86
Chlamy196,ICL_87,ICL_87
Chlamy197,ICL_88,ICL_88
Chlamy198,ICL_89,ICL_89
Chlamy199,ICL_9,ICL_9
Chlamy200,ICL_90,ICL_90
Chlamy201,ICL_91,ICL_91
Chlamy202,ICL_92,ICL_92
Chlamy203,ICL_93,ICL_93
Chlamy204,ICL_94,ICL_94
Chlamy205,ICL_95,ICL_95
Chlamy206,ICL_96,ICL_96
Chlamy207,ICL_97,ICL_97
Chlamy208,ICL_98,ICL_98
Chlamy209,ICL_99,ICL_99
Chlamy210,ICL_X,ICL_X
Chlamy211,ICL_X2,ICL_X2
