,1,2,3,4,5,6,7,8,9,10,11,12
A,0.371473,0.386402,0.402942,0.416171,0.437633,0.459527,0.455631,0.464559,0.487271,0.483544,0.477166,0.485309
B,0.314702,0.343974,0.359658,0.376994,0.384305,0.402938,0.416431,0.427638,0.42937,0.424399,0.409104,0.405988
C,0.277413,0.313055,0.359372,0.361952,0.372242,0.392883,0.412462,0.441479,0.428241,0.428072,0.414968,0.384025
D,0.271523,0.272384,0.306752,0.310508,0.329692,0.340833,0.360635,0.352157,0.351007,0.331831,0.315536,0.283719
E,0.196426,0.224835,0.247312,0.258779,0.268647,0.282289,0.291396,0.294138,0.297366,0.287321,0.28372,0.250217
F,0.150779,0.173587,0.19362,0.20109,0.227346,0.238977,0.231955,0.239959,0.247397,0.244049,0.229582,0.21907
G,0.114514,0.13521,0.158725,0.164256,0.169826,0.18017,0.175851,0.184165,0.188116,0.175387,0.164926,0.150816
H,-0.000481,0.040219,0.053596,0.046594,0.052398,0.062445,0.095002,0.066989,0.070094,0.060643,0.036897,-0.0
