,kB600,kC600,kB750,kC750
320,0.6797276664876847,0.5928515695221128,0.5992146751121791,0.46781661485077597
325,0.6869349345076521,0.5950251501246224,0.6055740740654629,0.46954737251759443
330,0.6955199012281696,0.5924590553696132,0.6131352526269488,0.4675521984498741
335,0.7047104946910405,0.5878017994116498,0.6212417460228559,0.4639368870403952
340,0.7135540392357435,0.587967988467179,0.6290327871574435,0.4640999809206893
345,0.7234686059513649,0.5961980995938629,0.6377692927430126,0.4705495808117795
350,0.7326730921055227,0.6080531193403532,0.6458765365886037,0.4798094535179137
355,0.7421681432867272,0.6183298949409061,0.6542432739555608,0.4878176452217429
360,0.7502328604881296,0.622815704721918,0.6613534910308164,0.49127186408004164
365,0.7580001478733702,0.6228253750668296,0.6681945265664903,0.4912750734117652
370,0.76435134535992,0.6188113060022272,0.6737876513475903,0.48828090362207777
375,0.770987083188941,0.6124876178341345,0.6796276093045718,0.4835098617197844
380,0.7763217820798551,0.6066188612672082,0.6843255061931068,0.4789258545074389
385,0.7830249627791235,0.6031149571719621,0.6902272003514568,0.47611485126323727
390,0.7894260741125613,0.6031252115591427,0.6958645946111482,0.4761045903714732
395,0.7953078371995597,0.601758611816211,0.7010451187092183,0.47502276260155135
400,0.8008512135005831,0.5936046088036531,0.7059381488573508,0.4685838748597288
405,0.8056248451660942,0.5795467669622034,0.7101382256128949,0.4574886331366661
410,0.8122311591837661,0.5561602556014885,0.7159848055305501,0.43903228096008595
415,0.8164934434221791,0.5391001425521578,0.719715524858858,0.42554886796373287
420,0.8223971589437533,0.527678572970204,0.7249302710847475,0.41651579560155644
425,0.8269043111727529,0.519123116805686,0.7288945885899363,0.40976476011599094
430,0.8337201602795671,0.5071118422949091,0.7349097018597395,0.40027870396123244
435,0.8413977321365156,0.49559145247851016,0.7416873113690773,0.3911970552588564
440,0.8482077391933065,0.49170497227195015,0.7476805193573819,0.38810453774593195
445,0.8551663124697879,0.5004586229177677,0.7538062777561856,0.39500157597430313
450,0.8607978508203589,0.5162367415735499,0.7587746377687037,0.4074388967266648
455,0.8656121097293358,0.5306000236308358,0.7630284722094863,0.4187384893244988
460,0.8730338492927814,0.543937612627849,0.7695622582438733,0.4292844040792168
465,0.877914992470312,0.5446976571723421,0.7738648920587181,0.4298862812346244
470,0.8832770862877976,0.5401577359948558,0.778595623246548,0.42629787362070476
475,0.8886139542691042,0.5345897880742014,0.7832974590105637,0.42189759961560386
480,0.891855223128426,0.5330705467166511,0.7861526952410138,0.42068764699114747
485,0.9000549590323151,0.5371276599725275,0.7933792202037744,0.4238374627154053
490,0.9039055415485975,0.5526538473269875,0.7967813141841893,0.4360662469787238
