,kB680m,kB750m,kC680m,kC750m
A600,-1.3476914470169759,3.0348835050174685,1.3327065553693989,-1.522340780172538
500,-1.601899661704566,3.6066178268984777,2.1700145179002597,-2.4934053457708103
510,-1.5669354049639297,3.5283555714707178,1.888655937476405,-2.1673823634198452
520,-1.5357529994841637,3.4583196034710784,1.6217079678014181,-1.8593292458679012
530,-1.5058214087450175,3.391183231796318,1.472219767950574,-1.6871299752197668
540,-1.474777986776893,3.3215613646269935,1.3947206832903136,-1.5983618579219647
550,-1.4499062016802082,3.265692893106271,1.3559050230869312,-1.5542142005326307
560,-1.4195850799653624,3.1975299736606457,1.3258494595733177,-1.520320096961678
570,-1.3914487087854324,3.134389576062014,1.3346413512309376,-1.531513090918246
580,-1.3674645798565543,3.0805489477589627,1.3597272514290821,-1.56122005097882
590,-1.338131394080466,3.0145546637827474,1.38395978036489,-1.589882625955889
600,-1.3117295420493682,2.9552389294462422,1.3995697939622436,-1.6084417656681533
610,-1.2860457002642574,2.897558134704183,1.4167405949380756,-1.6287482555966235
620,-1.2642080880390703,2.8484283437362152,1.4376046387175503,-1.6531307722462936
630,-1.2391701548627048,2.792156572854828,1.4375517065361174,-1.6535804824691736
640,-1.215508113099137,2.739034672426164,1.4740346639932618,-1.6965264416077432
650,-1.1937878617732005,2.690222119834877,1.6833588535558415,-1.938209815221999
660,-1.1693771334849727,2.6356394522929665,1.8098035411800164,-2.083781802993435
670,-1.1474955249158836,2.586337783846021,2.079223761189481,-2.393379171228626
680,-1.124801045451575,2.535405822509841,2.215020736725859,-2.5480444969867824
690,-1.1039171696942403,2.4884325087222896,1.8133873382363763,-2.0812236334692247
700,-1.080659925010242,2.436292428611533,1.3349335291224083,-1.529430784952633
710,-1.062484529162524,2.395356626066595,1.1793933192865227,-1.3507844618364708
720,-1.044009069927329,2.3539153647111166,1.113436852145691,-1.275813988675764
730,-1.0224575485874154,2.30544913716828,1.072546025842717,-1.2296813741405521
740,-1.0057520014938446,2.267965469169362,1.05068089953645,-1.2050622258336625
750,-0.9869403809416795,2.225675432499249,1.0306457649094318,-1.1824599492436147
