well,row,col,B_lbl,C_lbl,A600,A600_sdv,A680,A680_sdv,A720,A720_sdv,A750,A750_sdv,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,B_p750,C_p750
A1,A,1,0.4,0.5,1.0938000530004501,0.06179999932646753,1.4928000569343567,0.06859999895095825,0.8732000440359116,0.06599999964237213,0.8271999508142469,0.06930000334978104,1.5456999987363815,1.3684999868273735,1.2257000282406807,1.1401999816298485,1.0946000069379807,1.0732000172138214,1.054900012910366,1.0580999776721,1.0692000016570093,1.079400010406971,1.0834999904036522,1.0887999534606934,1.0963999703526497,1.0915000289678574,1.1107999831438065,1.2204000279307363,1.279799960553646,1.4125000089406967,1.4652000218629837,1.2293000072240832,0.9722999557852747,0.889599971473217,0.8541000112891198,0.8298000171780585,0.8166000023484231,0.8032000213861465,0.21612754570799367,0.5690609834252386
A2,A,2,0.4,0.46,1.029199942946434,0.07460000365972519,1.3929000496864317,0.07419999688863754,0.830000028014183,0.0714000016450882,0.7853000313043594,0.07429999858140945,1.4581000059843063,1.3198000118136406,1.1632000282406807,1.0865000113844872,1.0469999760389328,1.0245000422000883,1.0075000151991844,1.008700005710125,1.0185000523924825,1.026500053703785,1.0287999734282494,1.0326999425888062,1.0387000516057014,1.0339000076055527,1.049900010228157,1.1474999710917473,1.2043999657034874,1.3205000013113022,1.3657999783754349,1.169800028204918,0.9242999777197838,0.848600022494793,0.814900003373623,0.7924000099301338,0.7793000116944313,0.7659999877214432,0.2361057251354586,0.5120431864875244
A3,A,3,0.4,0.42,0.9685000032186508,0.07680000364780426,1.299500048160553,0.08179999887943268,0.7890000194311142,0.07580000162124634,0.7469999939203262,0.07970000058412552,1.3694999665021896,1.2432999536395073,1.0981999710202217,1.0271000489592552,0.9892000406980515,0.967600017786026,0.951199971139431,0.9515000507235527,0.9587000235915184,0.9645000174641609,0.9663999900221825,0.9688999652862549,0.9732000306248665,0.9683999866247177,0.9817000180482862,1.0712999626994133,1.1187999472022057,1.2301000207662582,1.2734000235795975,1.0813000053167343,0.867999993264675,0.7984999939799309,0.7672000154852867,0.7458000257611275,0.7334000244736671,0.7209000140428543,0.23706710916141105,0.4684009211371886
A4,A,4,0.4,0.38,0.9106000512838366,0.07320000231266023,1.2020999789237976,0.07909999787807465,0.7449999898672104,0.07419999688863754,0.7056999951601028,0.0786999985575676,1.28679995238781,1.1725000068545341,1.0434000566601753,0.9783999547362328,0.9445000141859055,0.9232000410556793,0.9070999845862389,0.9058999940752984,0.9114999994635582,0.9152999594807625,0.915600024163723,0.9163999557495115,0.9197999909520149,0.9140999764204025,0.9244999438524246,1.0035000368952751,1.0455999597907066,1.1440000385046005,1.1831999570131302,1.0131000131368637,0.8222000226378441,0.7584000155329704,0.7299999818205833,0.7094000056385994,0.6977000012993813,0.6858000308275223,0.25323977007545667,0.41770031176258265
A5,A,5,0.4,0.34,0.8852000087499619,0.07850000262260437,1.1458000540733337,0.08789999783039093,0.7251999825239182,0.0803999975323677,0.6865000277757645,0.08569999784231186,1.234200045466423,1.1144000217318535,1.0146000459790232,0.9537000283598902,0.9187000244855881,0.900299996137619,0.883500002324581,0.8808000013232232,0.884600006043911,0.8869000151753426,0.8858999833464622,0.8859000205993652,0.8877999857068063,0.8813999742269517,0.8902999907732011,0.9613999649882317,0.9979000315070152,1.0872000306844711,1.1227000504732132,0.969200000166893,0.7938999757170677,0.7354000136256218,0.7079000100493431,0.6883000209927559,0.6763000264763833,0.6646000295877457,0.26952101763702474,0.3808056870097547
A6,A,6,0.4,0.3,0.8396999686956406,0.08169999718666078,1.0694000124931335,0.09279999881982803,0.6938999742269516,0.08449999988079071,0.6580000072717667,0.09059999883174896,1.1558000296354294,1.0485000535845757,0.9595999792218206,0.9052000269293784,0.8728999942541122,0.8556000292301178,0.8391000255942345,0.8353999778628348,0.8377999886870384,0.838199980556965,0.836500011384487,0.8349000215530396,0.8359000161290169,0.8290999978780746,0.8358000069856643,0.8970000073313712,0.9290000423789024,1.007199987769127,1.0384000092744827,0.9032999724149703,0.7483999952673913,0.6952999755740166,0.6703000292181969,0.6516000106930733,0.6400999799370766,0.6286000162363052,0.2794071306720232,0.3362006226470091
A7,A,7,0.4,0.25,0.782800003886223,0.08420000225305557,0.9755999445915222,0.09120000153779984,0.6475999802350998,0.08579999953508377,0.6125999838113785,0.08869999647140503,1.068499967455864,0.9880000278353693,0.8952000215649605,0.8478999957442285,0.8205000013113021,0.8025999963283539,0.7874000295996666,0.7828999683260918,0.7835999950766563,0.782400019466877,0.7794999703764915,0.7775999903678894,0.7767999842762947,0.7703000158071518,0.7742999941110612,0.8257999941706656,0.85190000385046,0.9185000509023666,0.9445000439882278,0.8289000242948531,0.6943000182509422,0.647400014102459,0.6240999922156334,0.6068999841809273,0.5957000032067299,0.5848000198602676,0.28862020507471386,0.28747216062754644
A8,A,8,0.4,0.21,0.7300000041723251,0.08720000088214874,0.8847000002861021,0.09009999781847,0.6062999814748764,0.08619999885559082,0.5729000121355057,0.08969999849796295,0.9940000027418137,0.9134000465273857,0.8466000035405159,0.8042000159621239,0.7776999920606613,0.7625999748706818,0.7478000149130821,0.7423000261187555,0.7411999925971031,0.7382999733090401,0.7341000065207481,0.730400025844574,0.7285999730229378,0.7207000106573105,0.7224999815225601,0.7650999948382378,0.7860999926924706,0.8411000221967697,0.8632000237703321,0.7654999941587448,0.6504000052809715,0.6101000234484673,0.5899999961256981,0.574100024998188,0.5639999881386757,0.5535000115633011,0.299934857713992,0.24350816289245067
A9,A,9,0.4,0.17,0.6838999837636948,0.09440000355243684,0.7991999983787538,0.09640000015497208,0.5709000080823898,0.093299999833107,0.5403999835252762,0.09629999846220016,0.9053000062704086,0.8390999957919122,0.7832999899983406,0.7468999847769737,0.7236999720335007,0.7097000181674957,0.6951999887824059,0.6883000060915947,0.6857000216841698,0.6812999919056892,0.6759000048041344,0.6708000302314758,0.6677000001072884,0.659700021147728,0.6592000275850296,0.6916999742388725,0.7065999731421471,0.7501000016927719,0.7668000012636185,0.6876000016927719,0.593499980866909,0.5601000115275383,0.5425999984145164,0.5282999947667122,0.5189999714493752,0.5090000182390213,0.30912698373619873,0.19362383686972856
A10,A,10,0.4,0.13,0.6374000161886215,0.09629999846220016,0.7123000025749205,0.09549999982118608,0.5293000191450119,0.09610000252723694,0.4983000308275223,0.098300002515316,0.8293999880552291,0.7832999750971794,0.7283999994397163,0.6986000165343285,0.6791999787092209,0.6651000082492828,0.6520999893546104,0.644399993121624,0.6402999982237816,0.6349999979138374,0.6287999972701073,0.6229000091552734,0.6186999753117561,0.6108000129461288,0.6085999757051468,0.632000021636486,0.6425000056624413,0.6733999699354172,0.6840999871492386,0.6244000047445297,0.5461999997496605,0.5179999992251396,0.5024000033736229,0.48900002986192703,0.48010001331567764,0.4707999974489212,0.31938517787555676,0.14956787548973516
