,kB680,kC680,kB750,kC750
A600,0.8775263326324898,1.6170128347630968,0.7686028465616029,0.7610125987794052
500,0.7395681484470199,1.0039081095171596,0.6473492770332643,0.4716127959514729
510,0.7559220928926018,1.1523507323786004,0.6616991624879436,0.541535763823365
520,0.7712604922919895,1.3383969819901562,0.6751322176065524,0.6290569511338983
530,0.7865166104750209,1.4735014203832855,0.6885095833840769,0.6926239611242997
540,0.8029724515342573,1.5561498898150172,0.7029383917312163,0.7314522227820209
550,0.8167175582429974,1.6013349927607534,0.7149809031098293,0.7526340224790852
560,0.8341278366514564,1.6388469217634034,0.7302320619252795,0.7701953840293256
570,0.850908835474418,1.6300962167426358,0.7449432544428272,0.7659535156744511
580,0.8657825877431948,1.6015463821795861,0.757964952993855,0.7524320681700961
590,0.8847239510384685,1.5747597841149716,0.774563942363414,0.7397641835234329
600,0.9024647646398024,1.5582785994198622,0.790098174974356,0.7319455571814433
610,0.9204480037406176,1.5402665427331896,0.8058537881837453,0.7234260251663733
620,0.9363050976270925,1.518567080058274,0.8197359189776577,0.7131904213926449
630,0.9551592430476719,1.519426908761779,0.8362468546697549,0.7135377051456723
640,0.9736529687925494,1.4831491665478418,0.8524476963068677,0.6964033935421281
650,0.9912350713155907,1.2992440232515505,0.8678562731105832,0.610007394257663
660,1.01163637305717,1.2084251531723185,0.8857568010408494,0.5673696354996185
670,1.0309453377053899,1.051121452265529,0.9026621679209266,0.493555493933242
680,1.0515564036187068,0.9856350570793184,0.9207221256650208,0.4628858488806919
690,1.0713348464346555,1.199922222683044,0.9380582220690263,0.5638091530274296
700,1.0941374766035576,1.6260450752450202,0.9580520755540336,0.7643116145454084
710,1.112766734312447,1.8398409540477692,0.974374666022421,0.8648553951502512
720,1.1322316500358125,1.9504349477304637,0.991448565605928,0.9167481987938897
730,1.15592767479483,2.026921799925917,1.012212241837256,0.9525703840965554
740,1.1748831971992315,2.070517881251504,1.0288279844685484,0.9729830985677727
750,1.1971198569475079,2.111984562690205,1.0483265516062346,0.9923822085239141
