,kB680,kC680,kB730,kC730
A600,0.8775263326324898,1.6170128347630968,0.7569289043491597,0.7969849720418946
500,0.7395681484470199,1.0039081095171596,0.6391039490669281,0.4952272823110102
510,0.7559220928926018,1.1523507323786004,0.6532045468040145,0.5685401032369414
520,0.7712604922919895,1.3383969819901562,0.6665528016429628,0.6601908205928226
530,0.7865166104750209,1.4735014203832855,0.6797641959018053,0.7268551961588079
540,0.8029724515342573,1.5561498898150172,0.6939799597766934,0.767659496241013
550,0.8167175582429974,1.6013349927607534,0.7059126524590539,0.7899551518910666
560,0.8341278366514564,1.6388469217634034,0.7209535424653739,0.8084846732801162
570,0.850908835474418,1.6300962167426358,0.7355007022648005,0.8041773163586288
580,0.8657825877431948,1.6015463821795861,0.7484082192162582,0.7901100092481018
590,0.8847239510384685,1.5747597841149716,0.7647844057160126,0.7768983481926125
600,0.9024647646398024,1.5582785994198622,0.7801622068750623,0.7687762427776716
610,0.9204480037406176,1.5402665427331896,0.7957705184889406,0.7599003342416573
620,0.9363050976270925,1.518567080058274,0.8095133972779448,0.7491985076822603
630,0.9551592430476719,1.519426908761779,0.8258778805464175,0.7496296804934053
640,0.9736529687925494,1.4831491665478418,0.8419094864667998,0.731740922118806
650,0.9912350713155907,1.2992440232515505,0.8571518689476487,0.6409937697066188
660,1.01163637305717,1.2084251531723185,0.8748438271985984,0.5961811223884154
670,1.0309453377053899,1.051121452265529,0.8915897669277342,0.5185552874359018
680,1.0515564036187068,0.9856350570793184,0.909466881311762,0.4862371381924532
690,1.0713348464346555,1.199922222683044,0.9266151039565941,0.5919491738817788
700,1.0941374766035576,1.6260450752450202,0.9463860061215047,0.8021790802517532
710,1.112766734312447,1.8398409540477692,0.9625614326683112,0.907664049123204
720,1.1322316500358125,1.9504349477304637,0.9794604607782573,0.9622439611751392
730,1.15592767479483,2.026921799925917,1.0000000000000002,0.9999999999999998
740,1.1748831971992315,2.070517881251504,1.016454141645372,1.0215311379072531
750,1.1971198569475079,2.111984562690205,1.0357133039545539,1.0419975556423273
