,kB680,kC680,kB7xx,kC7xx
kcc_720,4.920261245668662e-10,2.5888716887775574e-07,4.566081659758481e-10,1.302211062900683e-07
kcc_730,4.920261245668662e-10,2.5888716887775574e-07,4.248405610654525e-10,1.2763128760699564e-07
kcc_750,4.920261245668662e-10,2.5888716887775574e-07,4.3121776923061013e-10,1.2136617699537457e-07
