,kB680,kC680,kB750,kC750
320,0.649097464197256,1.061378372918487,0.5992146751121791,0.46781661485077597
325,0.6559796526235084,1.0652066911763904,0.6055740740654629,0.46954737251759443
330,0.664167923812033,1.0605339127165359,0.6131352526269488,0.4675521984498741
335,0.6729426277396987,1.0521599731938538,0.6212417460228559,0.4639368870403952
340,0.681380202019776,1.0524205691877482,0.6290327871574435,0.4640999809206893
345,0.6908390485406125,1.067048435906244,0.6377692927430126,0.4705495808117795
350,0.699626097202685,1.0880929490578422,0.6458765365886037,0.4798094535179137
355,0.708688002236531,1.1062888591999391,0.6542432739555608,0.4878176452217429
360,0.7163866650964832,1.1141334567832146,0.6613534910308164,0.49127186408004164
365,0.7238009418885608,1.1140274714162892,0.6681945265664903,0.4912750734117652
370,0.7298615361657357,1.1068724936466814,0.6737876513475903,0.48828090362207777
375,0.7361969284459701,1.0955958895832691,0.6796276093045718,0.4835098617197844
380,0.7412872297949441,1.0850283842649087,0.6843255061931068,0.4789258545074389
385,0.7476827230044977,1.0786213633495894,0.6902272003514568,0.47611485126323727
390,0.7537913969956849,1.07858609947142,0.6958645946111482,0.4761045903714732
395,0.7594031429289988,1.0761159524703228,0.7010451187092183,0.47502276260155135
400,0.764698731791546,1.0615183689145256,0.7059381488573508,0.4685838748597288
405,0.7692495659169198,1.0363598783237251,0.7101382256128949,0.4574886331366661
410,0.7755638621810862,0.9945412733252191,0.7159848055305501,0.43903228096008595
415,0.7796212670535712,0.9639905464735703,0.719715524858858,0.42554886796373287
420,0.7852587873937018,0.9435515204828956,0.7249302710847475,0.41651579560155644
425,0.7895577515460055,0.9282518274622564,0.7288945885899363,0.40976476011599094
430,0.7960699619459344,0.9067610675248173,0.7349097018597395,0.40027870396123244
435,0.8034051891274712,0.8861732624801965,0.7416873113690773,0.3911970552588564
440,0.809903348663024,0.8791859641044922,0.7476805193573819,0.38810453774593195
445,0.8165450575752761,0.8948312150633595,0.7538062777561856,0.39500157597430313
450,0.8219258105669276,0.9230234971081203,0.7587746377687037,0.4074388967266648
455,0.8265268641847237,0.9486359816104994,0.7630284722094863,0.4187384893244988
460,0.8336141745759779,0.972508351313515,0.7695622582438733,0.4292844040792168
465,0.838273809706831,0.9738659213410881,0.7738648920587181,0.4298862812346244
470,0.8433965904790037,0.9657263570443029,0.778595623246548,0.42629787362070476
475,0.848491866909875,0.9557597445030407,0.7832974590105637,0.42189759961560386
480,0.8515833120784002,0.9530302052228454,0.7861526952410138,0.42068764699114747
485,0.8594125969718762,0.9602170673421626,0.7933792202037744,0.4238374627154053
490,0.8630941122432625,0.9879771127641048,0.7967813141841893,0.4360662469787238
495,0.8685304699391913,1.032116208555202,0.8018004341102595,0.45553474817791384
500,0.8727163685257918,1.0972641495059,0.8056589274790171,0.48426142914234127
505,0.8771093103194764,1.183911935556047,0.8097107572715445,0.5224760293670774
510,0.881824722694285,1.280741770197703,0.8140647621954231,0.5651774706662356
515,0.8864532712544817,1.3846163342140014,0.818332851734214,0.6109972252669448
520,0.8904336611386031,1.4805831616581362,0.8220031009433735,0.6533302893047649
525,0.8959344542625401,1.585096622507983,0.8270695453235803,0.6994510303321883
530,0.8995218710610038,1.643596116314498,0.8303967547897492,0.7252779932536842
535,0.9031284240041332,1.705263740788507,0.8337213338606527,0.7525095133721484
540,0.9076632355780256,1.7474663707318523,0.837905463317921,0.7711506831298752
545,0.9129620867041515,1.7877039198231228,0.8427958424974097,0.7889375334351809
550,0.9150831937912343,1.81263766066738,0.8447494014852831,0.7999516529697944
555,0.9182880486368541,1.8437982112171372,0.8477046727828761,0.8137203515046461
560,0.9218854441796717,1.8636416267733338,0.8510228161260562,0.8224827518926323
565,0.9264815132055929,1.8700859806993886,0.8552625068328196,0.8253587869990376
570,0.930629201330525,1.8637101959641087,0.8590937360150982,0.8225707676183334
575,0.9347475888935505,1.8489245613553829,0.8628969837525058,0.8160749465790795
580,0.9382084679950364,1.832729762471757,0.8660919088743898,0.8089379408629744
585,0.9416967472336438,1.8174186178533827,0.8693097935501842,0.8022155015848257
