,kB680,kC680,kB720,kC720,kB680m,kB720m,kC680m,kC720m
320,0.649097464197256,1.0613783729184871,0.6129668178997107,0.4774169160488119,-1.3840883851130588,3.0372521982704783,1.6186421915691016,-1.4635239515883252
325,0.6559796526235084,1.0652066911763904,0.6194599077876911,0.4791710434850287,-1.3695661485333417,3.005207069130962,1.612334251343438,-1.457234804415953
330,0.6641679238120329,1.060533912716536,0.627195610962904,0.4771089100657098,-1.35281781454632,2.9683899121829014,1.6181087617186005,-1.4613931329291105
335,0.6729426277396987,1.0521599731938538,0.6354814739021878,0.4733640185949531,-1.335260178718925,2.9297446968313956,1.6296948025914613,-1.4706269147096755
340,0.681380202019776,1.0524205691877482,0.6434498822556012,0.4735027098859589,-1.3188080236045843,2.8936118909395327,1.6283845894333266,-1.4685494436309432
345,0.6908390485406125,1.067048435906244,0.6523833873993887,0.480128001253449,-1.3009398186580596,2.8542744516079464,1.6059295212922233,-1.448502551005933
350,0.699626097202685,1.0880929490578422,0.6606715593739502,0.4896657721698624,-1.2846358636364006,2.81845308526391,1.575377528571356,-1.4217231028133261
355,0.708688002236531,1.1062888591999391,0.6692245229785637,0.4979287179959911,-1.2683468762754593,2.782579947960441,1.5494820976632577,-1.3989291227444138
360,0.7163866650964832,1.1141334567832146,0.6764911795604902,0.5015275277647901,-1.2547817886914057,2.752736856387292,1.5386038269021178,-1.3895287706592265
365,0.7238009418885608,1.1140274714162892,0.6834784645426872,0.5015311267261373,-1.2419697488877768,2.724503688526765,1.5374407596543387,-1.3878179794362457
370,0.7298615361657357,1.1068724936466814,0.6891830158270162,0.4983141506223849,-1.2317172353909558,2.701689789669114,1.5446701171384447,-1.3918736924258317
375,0.7361969284459701,1.0955958895832691,0.6951443626582011,0.4932387781836018,-1.2209168819325842,2.677835959729251,1.556698147234128,-1.3996657078325982
380,0.7412872297949441,1.0850283842649089,0.6999429251309834,0.4885126986907553,-1.2124031564032138,2.659091676502948,1.5697409400165045,-1.4101452334506148
385,0.7476827230044977,1.0786213633495894,0.7059782048183599,0.4856810797894717,-1.2019302105446579,2.6360658300906064,1.5781725772955937,-1.4176930701309491
390,0.7537913969956849,1.07858609947142,0.7117469970341503,0.4856840309915974,-1.1922132698554648,2.614805348894176,1.5776579155346233,-1.417142215796017
395,0.7594031429289988,1.0761159524703228,0.7170465302229928,0.4845813779960715,-1.1833720834538988,2.595409714620944,1.5807004867395558,-1.4196770370443241
400,0.7646987317915459,1.0615183689145256,0.7220445777357096,0.4780120530201049,-1.1752051450810979,2.5774668655659787,1.601780771019299,-1.4383447464738763
405,0.7692495659169198,1.0363598783237251,0.7263478107964816,0.466687515247331,-1.168221253891961,2.562204377111384,1.6397575554666943,-1.4720798204425987
410,0.7755638621810862,0.9945412733252192,0.7323182675675414,0.4478552204552629,-1.1587013780321582,2.541422901415771,1.7075511511791206,-1.5323655928241757
415,0.7796212670535712,0.9639905464735704,0.7361450484877186,0.43410602623359146,-1.1528063796152956,2.5283045496341936,1.760151226144326,-1.5792944101364517
420,0.7852587873937018,0.9435515204828956,0.7414771969530893,0.4249062170846182,-1.1444510877284984,2.510094744304207,1.7976829436021433,-1.6128169233993441
425,0.7895577515460055,0.9282518274622564,0.7455341899422293,0.4180132621242057,-1.138366142644754,2.4966378353161764,1.8264522864157107,-1.6384207741432575
430,0.7960699619459344,0.9067610675248172,0.7516790751908515,0.4083390632860602,-1.129060234827838,2.476220893812177,1.8688158950662412,-1.6761572253156298
435,0.8034051891274712,0.8861732624801965,0.7586112067273344,0.3990634506035408,-1.1186548150817872,2.453544592776849,1.911754848238976,-1.7143331023104402
440,0.809903348663024,0.8791859641044922,0.7647465545300731,0.3959301018236009,-1.1097085615976066,2.433908745174343,1.9270473190460942,-1.72835416223346
445,0.8165450575752761,0.8948312150633595,0.7710150555785502,0.40298199338878987,-1.100696222155965,2.4141145547179574,1.894941150151812,-1.7002361084506072
450,0.8219258105669276,0.9230234971081204,0.7760901778433404,0.41569081161097793,-1.0935088014991183,2.398302982579721,1.8386993082262775,-1.6505452190011816
